TotalCases,CaseGrowthRate,TotalDeaths,DeathGrowthRate,ActiveCases,ActiveCasesChange,NewCases,NewDeaths,SeriousAndCritical,SeriousAndCriticalChange,LastUpdated
978,0,54,0,749,0,385,11,0,0,03/01/2020 22:10:38 +00:00
1501,1.5348,66,1.2222,1144,1.5274,523,12,0,0,03/02/2020 23:50:25 +00:00
2336,1.5563,77,1.1667,1824,1.5944,835,11,0,0,03/03/2020 23:00:01 +00:00
3513,1.5039,107,1.3896,2667,1.4622,591,15,0,0,03/05/2020 15:52:19 +00:00
4747,1.3513,124,1.1589,3710,1.3911,1234,16,0,0,03/06/2020 14:39:12 +00:00
5823,1.2267,145,1.1694,4009,1.0806,1076,21,0,0,03/07/2020 17:47:44 +00:00
