TotalCases,CaseGrowthRate,TotalDeaths,DeathGrowthRate,ActiveCases,ActiveCasesChange,NewCases,NewDeaths,SeriousAndCritical,SeriousAndCriticalChange,LastUpdated
3736,0,21,0,3685,0,586,4,10,0,03/01/2020 22:10:38 +00:00
4335,1.1603,28,1.3333,4277,1.1607,599,7,27,2.7,03/02/2020 23:50:25 +00:00
5186,1.1963,34,1.2143,5118,1.1966,851,6,27,1,03/03/2020 23:00:01 +00:00
6088,1.1739,40,1.1765,5913,1.1553,467,5,52,1.9259,03/05/2020 15:52:19 +00:00
6593,1.083,43,1.075,6415,1.0849,309,1,52,1,03/06/2020 14:39:12 +00:00
7041,1.068,48,1.1163,6875,1.0717,448,5,36,0.6923,03/07/2020 17:47:44 +00:00
