TotalCases,CaseGrowthRate,TotalDeaths,DeathGrowthRate,ActiveCases,ActiveCasesChange,NewCases,NewDeaths,SeriousAndCritical,SeriousAndCriticalChange,LastUpdated
36,0,0,0,28,0,13,0,0,0,03/01/2020 22:10:38 +00:00
40,1.1111,0,0,32,1.1429,4,0,0,0,03/02/2020 23:50:25 +00:00
51,1.275,0,0,43,1.3438,12,0,0,0,03/03/2020 23:00:01 +00:00
87,1.7059,0,0,79,1.8372,36,0,0,0,03/05/2020 01:55:01 +00:00
