TotalCases,CaseGrowthRate,TotalDeaths,DeathGrowthRate,ActiveCases,ActiveCasesChange,NewCases,NewDeaths,SeriousAndCritical,SeriousAndCriticalChange,LastUpdated
106,0,0,0,32,0,4,0,7,0,03/01/2020 22:10:38 +00:00
108,1.0189,0,0,30,0.9375,2,0,6,0.8571,03/02/2020 23:50:25 +00:00
110,1.0185,0,0,32,1.0667,2,0,7,1.1667,03/03/2020 23:00:01 +00:00
117,1.0636,0,0,36,1.125,5,0,7,1,03/05/2020 15:52:19 +00:00
130,1.1111,0,0,49,1.3611,13,0,7,1,03/06/2020 14:39:12 +00:00
138,1.0615,0,0,48,0.9796,8,0,8,1.1429,03/07/2020 17:47:44 +00:00
