TotalCases,CaseGrowthRate,TotalDeaths,DeathGrowthRate,ActiveCases,ActiveCasesChange,NewCases,NewDeaths,SeriousAndCritical,SeriousAndCriticalChange,LastUpdated
27,0,1,0,11,0,2,1,0,0,03/01/2020 22:10:38 +00:00
33,1.2222,1,1,17,1.5455,4,0,1,0,03/02/2020 23:50:25 +00:00
39,1.1818,1,1,23,1.3529,6,0,1,1,03/03/2020 23:00:01 +00:00
53,1.359,2,2,30,1.3043,0,0,1,1,03/05/2020 15:52:19 +00:00
60,1.1321,2,1,36,1.2,0,0,1,1,03/06/2020 14:39:12 +00:00
64,1.0667,2,1,40,1.1111,1,0,1,1,03/07/2020 17:47:44 +00:00
