TotalCases,CaseGrowthRate,TotalDeaths,DeathGrowthRate,ActiveCases,ActiveCasesChange,NewCases,NewDeaths,SeriousAndCritical,SeriousAndCriticalChange,LastUpdated
14,0,0,0,14,0,4,0,0,0,03/01/2020 22:10:38 +00:00
18,1.2857,0,0,18,1.2857,4,0,0,0,03/02/2020 23:50:25 +00:00
24,1.3333,0,0,24,1.3333,6,0,0,0,03/03/2020 23:00:01 +00:00
41,1.7083,0,0,39,1.625,12,0,1,0,03/05/2020 15:52:19 +00:00
47,1.1463,0,0,45,1.1538,4,0,1,1,03/06/2020 14:39:12 +00:00
79,1.6809,0,0,77,1.7111,13,0,1,1,03/07/2020 17:47:44 +00:00
