TotalCases,CaseGrowthRate,TotalDeaths,DeathGrowthRate,ActiveCases,ActiveCasesChange,NewCases,NewDeaths,SeriousAndCritical,SeriousAndCriticalChange,LastUpdated
88361,0,3001,0,42632,0,1748,24,7607,0,03/01/2020 22:10:38 +00:00
90308,1.022,3087,1.0287,41494,0.9733,1718,36,7398,0.9725,03/02/2020 23:50:25 +00:00
92880,1.0285,3168,1.0262,41218,0.9933,2431,51,7162,0.9681,03/03/2020 23:00:01 +00:00
96950,1.0438,3310,1.0448,39659,0.9622,1782,56,6422,0.8967,03/05/2020 15:52:19 +00:00
100679,1.0385,3412,1.0308,41278,1.0408,2405,55,6286,0.9788,03/06/2020 14:39:12 +00:00
