TotalCases,CaseGrowthRate,TotalDeaths,DeathGrowthRate,ActiveCases,ActiveCasesChange,NewCases,NewDeaths,SeriousAndCritical,SeriousAndCriticalChange,LastUpdated
46,0,0,0,46,0,1,0,0,0,03/01/2020 22:10:38 +00:00
56,1.2174,0,0,56,1.2174,10,0,0,0,03/02/2020 23:50:25 +00:00
56,1,0,0,56,1,0,0,0,0,03/03/2020 23:00:01 +00:00
58,1.0357,0,0,58,1.0357,2,0,0,0,03/05/2020 15:52:19 +00:00
58,1,0,0,58,1,0,0,0,0,03/06/2020 14:39:12 +00:00
61,1.0517,0,0,60,1.0345,3,0,0,0,03/07/2020 17:47:44 +00:00
