TotalCases,CaseGrowthRate,TotalDeaths,DeathGrowthRate,ActiveCases,ActiveCasesChange,NewCases,NewDeaths,SeriousAndCritical,SeriousAndCriticalChange,LastUpdated
19,0,0,0,19,0,4,0,0,0,03/01/2020 22:10:38 +00:00
25,1.3158,0,0,25,1.3158,6,0,0,0,03/02/2020 23:50:25 +00:00
33,1.32,0,0,33,1.32,8,0,0,0,03/03/2020 23:00:01 +00:00
72,2.1818,0,0,72,2.1818,13,0,0,0,03/05/2020 15:52:19 +00:00
108,1.5,0,0,107,1.4861,14,0,0,0,03/06/2020 14:39:12 +00:00
150,1.3889,0,0,149,1.3925,23,0,0,0,03/07/2020 17:47:44 +00:00
