TotalCases,CaseGrowthRate,TotalDeaths,DeathGrowthRate,ActiveCases,ActiveCasesChange,NewCases,NewDeaths,SeriousAndCritical,SeriousAndCriticalChange,LastUpdated
84,0,0,0,82,0,26,0,3,0,03/01/2020 22:10:38 +00:00
120,1.4286,0,0,118,1.439,36,0,3,1,03/02/2020 23:50:25 +00:00
165,1.375,1,0,162,1.3729,45,1,3,1,03/03/2020 23:00:01 +00:00
259,1.5697,3,3,254,1.5679,31,1,7,2.3333,03/05/2020 15:52:19 +00:00
382,1.4749,5,1.6667,374,1.4724,100,2,9,1.2857,03/06/2020 14:39:12 +00:00
