TotalCases,CaseGrowthRate,TotalDeaths,DeathGrowthRate,ActiveCases,ActiveCasesChange,NewCases,NewDeaths,SeriousAndCritical,SeriousAndCriticalChange,LastUpdated
73,0,1,0,63,0,5,0,3,0,03/01/2020 22:10:38 +00:00
99,1.3562,6,6,84,1.3333,24,5,7,2.3333,03/02/2020 23:50:25 +00:00
118,1.1919,9,1.5,100,1.1905,18,3,7,1,03/03/2020 23:00:01 +00:00
163,1.3814,11,1.2222,143,1.43,5,0,8,1.1429,03/05/2020 15:52:19 +00:00
233,1.4294,14,1.2727,210,1.4685,12,2,8,1,03/06/2020 14:39:12 +00:00
