TotalCases,CaseGrowthRate,TotalDeaths,DeathGrowthRate,ActiveCases,ActiveCasesChange,NewCases,NewDeaths,SeriousAndCritical,SeriousAndCriticalChange,LastUpdated
79828,0,2870,0,34844,0,4,0,7365,0,03/01/2020 22:10:38 +00:00
80026,1.0025,2912,1.0146,32291,0.9267,0,0,7110,0.9654,03/02/2020 23:50:25 +00:00
80152,1.0016,2945,1.0113,29785,0.9224,1,2,6806,0.9572,03/03/2020 23:00:01 +00:00
80430,1.0035,3013,1.0231,25158,0.8447,160,32,5952,0.8745,03/05/2020 15:52:19 +00:00
80559,1.0016,3042,1.0096,23588,0.9376,150,30,5737,0.9639,03/06/2020 14:39:12 +00:00
80652,1.0012,3070,1.0092,22061,0.9353,100,28,5489,0.9568,03/07/2020 17:47:44 +00:00
