TotalCases,CaseGrowthRate,TotalDeaths,DeathGrowthRate,ActiveCases,ActiveCasesChange,NewCases,NewDeaths,SeriousAndCritical,SeriousAndCriticalChange,LastUpdated
29,0,0,0,7,0,4,0,0,0,03/01/2020 22:10:38 +00:00
29,1,0,0,7,1,0,0,0,0,03/02/2020 23:50:25 +00:00
36,1.2414,0,0,14,2,7,0,0,0,03/03/2020 23:00:01 +00:00
55,1.5278,0,0,33,2.3571,5,0,0,0,03/05/2020 15:52:19 +00:00
83,1.5091,0,0,61,1.8485,28,0,0,0,03/06/2020 14:39:12 +00:00
93,1.1205,0,0,70,1.1475,10,0,0,0,03/07/2020 17:47:44 +00:00
