TotalCases,CaseGrowthRate,TotalDeaths,DeathGrowthRate,ActiveCases,ActiveCasesChange,NewCases,NewDeaths,SeriousAndCritical,SeriousAndCriticalChange,LastUpdated
10,0,0,0,10,0,3,0,1,0,03/01/2020 22:10:38 +00:00
18,1.8,0,0,18,1.8,8,0,1,1,03/02/2020 23:50:25 +00:00
23,1.2778,0,0,23,1.2778,5,0,1,1,03/03/2020 23:00:01 +00:00
82,3.5652,0,0,82,3.5652,44,0,1,1,03/05/2020 15:52:19 +00:00
128,1.561,1,0,127,1.5488,46,1,1,1,03/06/2020 14:39:12 +00:00
