Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,NewCases,NewDeaths,SeriousAndCritical,LastUpdated
China,80652,3070,55521,22061,100,28,5489,2020-03-07T15:05:45.2966250Z
S. Korea,7041,48,118,6875,448,5,36,2020-03-07T15:05:45.2966250Z
Iran,5823,145,1669,4009,1076,21,-2147483648,2020-03-07T15:05:45.2966250Z
Italy,4636,197,523,3916,-2147483648,,462,2020-03-07T15:05:45.2966250Z
Germany,717,-2147483648,18,699,47,,9,2020-03-07T15:05:45.2966250Z
France,716,11,12,693,63,2,23,2020-03-07T15:05:45.2966250Z
Diamond Princess,696,6,245,445,-2147483648,,32,2020-03-07T15:05:45.2966250Z
Spain,500,10,30,460,99,2,9,2020-03-07T15:05:45.2966250Z
Japan,435,6,76,353,15,,28,2020-03-07T15:05:45.2966250Z
USA,335,17,15,303,16,2,8,2020-03-07T15:05:45.2966250Z
Switzerland,268,1,3,264,54,,-2147483648,2020-03-07T15:05:45.2966250Z
UK,206,2,18,186,42,,-2147483648,2020-03-07T15:05:45.2966250Z
Netherlands,188,1,-2147483648,187,60,,1,2020-03-07T15:05:45.2966250Z
Belgium,169,-2147483648,1,168,60,,1,2020-03-07T15:05:45.2966250Z
Sweden,161,-2147483648,1,160,24,,-2147483648,2020-03-07T15:05:45.2966250Z
Singapore,138,-2147483648,90,48,8,,9,2020-03-07T15:05:45.2966250Z
Norway,136,-2147483648,1,135,9,,-2147483648,2020-03-07T15:05:45.2966250Z
Hong Kong,108,2,51,55,-2147483648,,6,2020-03-07T15:05:45.2966250Z
Malaysia,93,-2147483648,23,70,10,,-2147483648,2020-03-07T15:05:45.2966250Z
Austria,74,-2147483648,2,72,8,,1,2020-03-07T15:05:45.2966250Z
Bahrain,66,-2147483648,4,62,6,,-2147483648,2020-03-07T15:05:45.2966250Z
Australia,64,2,22,40,1,,1,2020-03-07T15:05:45.2966250Z
Kuwait,61,-2147483648,1,60,3,,-2147483648,2020-03-07T15:05:45.2966250Z
Canada,54,-2147483648,8,46,-2147483648,,1,2020-03-07T15:05:45.2966250Z
Thailand,50,1,31,18,2,,1,2020-03-07T15:05:45.2966250Z
Iraq,46,4,1,41,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Greece,46,-2147483648,-2147483648,46,1,,1,2020-03-07T15:05:45.2966250Z
Taiwan,45,1,15,29,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Iceland,45,-2147483648,1,44,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
UAE,45,-2147483648,7,38,-2147483648,,2,2020-03-07T15:05:45.2966250Z
India,34,-2147483648,3,31,3,,-2147483648,2020-03-07T15:05:45.2966250Z
Denmark,27,-2147483648,1,26,6,,-2147483648,2020-03-07T15:05:45.2966250Z
San Marino,23,1,-2147483648,22,-2147483648,,4,2020-03-07T15:05:45.2966250Z
Lebanon,22,-2147483648,1,21,-2147483648,,1,2020-03-07T15:05:45.2966250Z
Israel,21,-2147483648,2,19,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Vietnam,20,-2147483648,16,4,3,,-2147483648,2020-03-07T15:05:45.2966250Z
Algeria,19,-2147483648,-2147483648,19,2,,-2147483648,2020-03-07T15:05:45.2966250Z
Czechia,19,-2147483648,-2147483648,19,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Finland,19,-2147483648,1,18,4,,-2147483648,2020-03-07T15:05:45.2966250Z
Ireland,18,-2147483648,-2147483648,18,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Oman,16,-2147483648,2,14,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Palestine,16,-2147483648,-2147483648,16,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Egypt,15,-2147483648,1,14,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Portugal,15,-2147483648,-2147483648,15,2,,-2147483648,2020-03-07T15:05:45.2966250Z
Brazil,14,-2147483648,-2147483648,14,1,,-2147483648,2020-03-07T15:05:45.2966250Z
Ecuador,14,-2147483648,-2147483648,14,1,,1,2020-03-07T15:05:45.2966250Z
Russia,13,-2147483648,2,11,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Croatia,12,-2147483648,-2147483648,12,1,,-2147483648,2020-03-07T15:05:45.2966250Z
Georgia,12,-2147483648,-2147483648,12,3,,1,2020-03-07T15:05:45.2966250Z
Qatar,12,-2147483648,-2147483648,12,1,,-2147483648,2020-03-07T15:05:45.2966250Z
Slovenia,12,-2147483648,-2147483648,12,4,,-2147483648,2020-03-07T15:05:45.2966250Z
Romania,11,-2147483648,3,8,2,,-2147483648,2020-03-07T15:05:45.2966250Z
Macao,10,-2147483648,10,0,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
