Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,NewCases,NewDeaths,SeriousAndCritical,LastUpdated
Estonia,10,-2147483648,-2147483648,10,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Azerbaijan,9,-2147483648,-2147483648,9,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Argentina,8,-2147483648,-2147483648,8,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Saudi Arabia,7,-2147483648,1,6,2,,-2147483648,2020-03-07T15:05:45.2966250Z
Philippines,6,1,2,3,1,,1,2020-03-07T15:05:45.2966250Z
Belarus,6,-2147483648,-2147483648,6,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Mexico,6,-2147483648,1,5,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Pakistan,6,-2147483648,1,5,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Poland,6,-2147483648,-2147483648,6,1,,-2147483648,2020-03-07T15:05:45.2966250Z
New Zealand,5,-2147483648,-2147483648,5,1,,-2147483648,2020-03-07T15:05:45.2966250Z
Chile,5,-2147483648,-2147483648,5,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Hungary,5,-2147483648,-2147483648,5,1,,-2147483648,2020-03-07T15:05:45.2966250Z
Afghanistan,4,-2147483648,-2147483648,4,3,,-2147483648,2020-03-07T15:05:45.2966250Z
Indonesia,4,-2147483648,-2147483648,4,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Senegal,4,-2147483648,1,3,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Luxembourg,3,-2147483648,-2147483648,3,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
North Macedonia,3,-2147483648,-2147483648,3,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Bosnia and Herzegovina,3,-2147483648,-2147483648,3,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Slovakia,3,-2147483648,-2147483648,3,2,,-2147483648,2020-03-07T15:05:45.2966250Z
Cambodia,2,-2147483648,1,1,1,,-2147483648,2020-03-07T15:05:45.2966250Z
Dominican Republic,2,-2147483648,-2147483648,2,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Morocco,2,-2147483648,-2147483648,2,-2147483648,,1,2020-03-07T15:05:45.2966250Z
Cameroon,2,-2147483648,-2147483648,2,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Faeroe Islands,2,-2147483648,-2147483648,2,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
South Africa,2,-2147483648,-2147483648,2,1,,-2147483648,2020-03-07T15:05:45.2966250Z
Andorra,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Armenia,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Jordan,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Latvia,1,-2147483648,1,0,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Lithuania,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Monaco,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Nepal,1,-2147483648,1,0,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Nigeria,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Sri Lanka,1,-2147483648,1,0,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Tunisia,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Ukraine,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Bhutan,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Colombia,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Costa Rica,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Gibraltar,1,-2147483648,-2147483648,1,-2147483648,,1,2020-03-07T15:05:45.2966250Z
Vatican City,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Liechtenstein,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Malta,1,-2147483648,-2147483648,1,1,,-2147483648,2020-03-07T15:05:45.2966250Z
Peru,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Serbia,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Togo,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-07T15:05:45.2966250Z
Total:,104144,3526,58559,42059,2199,60,6130,2020-03-07T15:05:45.2966250Z
