Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,NewCases,NewDeaths,SeriousAndCritical,LastUpdated
China,80026,2912,44801,32313,202,42,7110,2020-03-02T15:17:41.0395970Z
S. Korea,4335,26,30,4279,599,5,27,2020-03-02T15:17:41.0395970Z
Italy,1704,41,83,1580,3,,140,2020-03-02T15:17:41.0395970Z
Iran,1501,66,291,1144,523,12,-2147483648,2020-03-02T15:17:41.0395970Z
Diamond Princess,705,7,100,598,-2147483648,,36,2020-03-02T15:17:41.0395970Z
Japan,274,6,42,226,18,,19,2020-03-02T15:17:41.0395970Z
Germany,150,-2147483648,16,134,20,,2,2020-03-02T15:17:41.0395970Z
France,130,2,12,116,-2147483648,,9,2020-03-02T15:17:41.0395970Z
Spain,120,-2147483648,2,118,36,,3,2020-03-02T15:17:41.0395970Z
Singapore,108,-2147483648,78,30,2,,6,2020-03-02T15:17:41.0395970Z
Hong Kong,100,2,36,62,-2147483648,,6,2020-03-02T15:17:41.0395970Z
USA,88,2,9,77,13,1,8,2020-03-02T15:17:41.0395970Z
Kuwait,56,-2147483648,-2147483648,56,10,,-2147483648,2020-03-02T15:17:41.0395970Z
Bahrain,47,-2147483648,-2147483648,47,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Thailand,43,1,30,12,1,,1,2020-03-02T15:17:41.0395970Z
Taiwan,40,1,12,27,-2147483648,,1,2020-03-02T15:17:41.0395970Z
U.K.,40,-2147483648,8,32,4,,-2147483648,2020-03-02T15:17:41.0395970Z
Australia,33,1,15,17,4,,1,2020-03-02T15:17:41.0395970Z
Malaysia,29,-2147483648,22,7,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Canada,24,-2147483648,4,20,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Switzerland,24,-2147483648,1,23,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Iraq,21,-2147483648,-2147483648,21,2,,-2147483648,2020-03-02T15:17:41.0395970Z
U.A.E.,21,-2147483648,5,16,-2147483648,,2,2020-03-02T15:17:41.0395970Z
Norway,19,-2147483648,-2147483648,19,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Netherlands,18,-2147483648,-2147483648,18,8,,1,2020-03-02T15:17:41.0395970Z
Austria,16,-2147483648,-2147483648,16,2,,-2147483648,2020-03-02T15:17:41.0395970Z
Vietnam,16,-2147483648,16,0,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Sweden,14,-2147483648,-2147483648,14,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Lebanon,13,-2147483648,-2147483648,13,3,,-2147483648,2020-03-02T15:17:41.0395970Z
Macao,10,-2147483648,6,4,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Israel,10,-2147483648,1,9,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
San Marino,8,1,-2147483648,7,-2147483648,,1,2020-03-02T15:17:41.0395970Z
Belgium,8,-2147483648,1,7,6,,-2147483648,2020-03-02T15:17:41.0395970Z
Croatia,8,-2147483648,-2147483648,8,1,,-2147483648,2020-03-02T15:17:41.0395970Z
Greece,7,-2147483648,-2147483648,7,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Ecuador,6,-2147483648,-2147483648,6,-2147483648,,1,2020-03-02T15:17:41.0395970Z
Finland,6,-2147483648,1,5,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Oman,6,-2147483648,2,4,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
India,5,-2147483648,3,2,2,,-2147483648,2020-03-02T15:17:41.0395970Z
Mexico,5,-2147483648,-2147483648,5,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Denmark,4,-2147483648,-2147483648,4,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Pakistan,4,-2147483648,-2147483648,4,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Philippines,3,1,2,0,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Algeria,3,-2147483648,-2147483648,3,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Azerbaijan,3,-2147483648,-2147483648,3,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Czechia,3,-2147483648,-2147483648,3,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Georgia,3,-2147483648,-2147483648,3,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Iceland,3,-2147483648,-2147483648,3,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Qatar,3,-2147483648,-2147483648,3,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Romania,3,-2147483648,1,2,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Russia,3,-2147483648,2,1,1,,-2147483648,2020-03-02T15:17:41.0395970Z
Brazil,2,-2147483648,-2147483648,2,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Egypt,2,-2147483648,1,1,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Indonesia,2,-2147483648,-2147483648,2,2,,-2147483648,2020-03-02T15:17:41.0395970Z
Portugal,2,-2147483648,-2147483648,2,2,,-2147483648,2020-03-02T15:17:41.0395970Z
Afghanistan,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Andorra,1,-2147483648,-2147483648,1,1,,-2147483648,2020-03-02T15:17:41.0395970Z
Armenia,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Belarus,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Cambodia,1,-2147483648,1,0,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Dominican Republic,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Estonia,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Ireland,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Jordan,1,-2147483648,-2147483648,1,1,,-2147483648,2020-03-02T15:17:41.0395970Z
Lithuania,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Luxembourg,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
North Macedonia,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Monaco,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Nepal,1,-2147483648,1,0,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
New Zealand,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Nigeria,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Sri Lanka,1,-2147483648,1,0,-2147483648,,-2147483648,2020-03-02T15:17:41.0395970Z
Total:,89854,3069,45636,41149,1466,60,7374,2020-03-02T15:17:41.0395970Z
