Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,NewCases,NewDeaths,SeriousAndCritical,LastUpdated
China,79828,2870,42114,34844,577,35,7365,2020-03-01T21:57:11.7101440Z
S. Korea,3736,21,30,3685,586,4,10,2020-03-01T21:57:11.7101440Z
Italy,1694,34,83,1577,566,5,140,2020-03-01T21:57:11.7101440Z
Iran,978,54,175,749,385,11,-2147483648,2020-03-01T21:57:11.7101440Z
Diamond Princess,705,7,10,688,-2147483648,1,36,2020-03-01T21:57:11.7101440Z
Japan,256,6,32,218,15,1,19,2020-03-01T21:57:11.7101440Z
France,130,2,12,116,30,,9,2020-03-01T21:57:11.7101440Z
Germany,129,-2147483648,16,113,50,,2,2020-03-01T21:57:11.7101440Z
Singapore,106,-2147483648,74,32,4,,7,2020-03-01T21:57:11.7101440Z
Hong Kong,100,2,36,62,5,,6,2020-03-01T21:57:11.7101440Z
Spain,84,-2147483648,2,82,26,,3,2020-03-01T21:57:11.7101440Z
USA,73,1,9,63,5,,3,2020-03-01T21:57:11.7101440Z
Bahrain,47,-2147483648,-2147483648,47,6,,-2147483648,2020-03-01T21:57:11.7101440Z
Kuwait,46,-2147483648,-2147483648,46,1,,-2147483648,2020-03-01T21:57:11.7101440Z
Thailand,42,1,30,11,-2147483648,1,1,2020-03-01T21:57:11.7101440Z
Taiwan,40,1,12,27,1,,1,2020-03-01T21:57:11.7101440Z
U.K.,36,-2147483648,8,28,13,,-2147483648,2020-03-01T21:57:11.7101440Z
Malaysia,29,-2147483648,22,7,4,,-2147483648,2020-03-01T21:57:11.7101440Z
Australia,27,1,15,11,2,1,-2147483648,2020-03-01T21:57:11.7101440Z
Switzerland,24,-2147483648,1,23,5,,-2147483648,2020-03-01T21:57:11.7101440Z
U.A.E.,21,-2147483648,5,16,-2147483648,,2,2020-03-01T21:57:11.7101440Z
Canada,20,-2147483648,4,16,-2147483648,,-2147483648,2020-03-01T21:57:11.7101440Z
Iraq,19,-2147483648,-2147483648,19,6,,-2147483648,2020-03-01T21:57:11.7101440Z
Norway,19,-2147483648,-2147483648,19,4,,-2147483648,2020-03-01T21:57:11.7101440Z
Vietnam,16,-2147483648,16,0,-2147483648,,-2147483648,2020-03-01T21:57:11.7101440Z
Austria,14,-2147483648,-2147483648,14,4,,-2147483648,2020-03-01T21:57:11.7101440Z
Sweden,14,-2147483648,-2147483648,14,1,,-2147483648,2020-03-01T21:57:11.7101440Z
