Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,NewCases,NewDeaths,SeriousAndCritical,LastUpdated
China,80559,3042,53929,23588,150,30,5737,2020-03-06T14:39:12.6878040Z
S. Korea,6593,43,135,6415,309,1,52,2020-03-06T14:39:12.6878040Z
Iran,4747,124,913,3710,1234,16,-2147483648,2020-03-06T14:39:12.6878040Z
Italy,3858,148,414,3296,-2147483648,,351,2020-03-06T14:39:12.6878040Z
Diamond Princess,696,6,212,478,-2147483648,,34,2020-03-06T14:39:12.6878040Z
Germany,578,-2147483648,17,561,33,,8,2020-03-06T14:39:12.6878040Z
France,577,9,12,556,154,2,23,2020-03-06T14:39:12.6878040Z
Spain,382,5,3,374,100,2,9,2020-03-06T14:39:12.6878040Z
Japan,381,6,46,329,17,,34,2020-03-06T14:39:12.6878040Z
USA,233,14,9,210,12,2,8,2020-03-06T14:39:12.6878040Z
Switzerland,214,1,3,210,94,,-2147483648,2020-03-06T14:39:12.6878040Z
UK,163,2,18,143,47,1,-2147483648,2020-03-06T14:39:12.6878040Z
Singapore,130,-2147483648,81,49,13,,7,2020-03-06T14:39:12.6878040Z
Netherlands,128,1,-2147483648,127,46,1,1,2020-03-06T14:39:12.6878040Z
Belgium,109,-2147483648,1,108,59,,1,2020-03-06T14:39:12.6878040Z
Norway,108,-2147483648,1,107,14,,-2147483648,2020-03-06T14:39:12.6878040Z
Hong Kong,105,2,37,66,-2147483648,,6,2020-03-06T14:39:12.6878040Z
Sweden,101,-2147483648,1,100,7,,-2147483648,2020-03-06T14:39:12.6878040Z
Malaysia,83,-2147483648,22,61,28,,-2147483648,2020-03-06T14:39:12.6878040Z
Australia,60,2,22,36,-2147483648,,1,2020-03-06T14:39:12.6878040Z
Bahrain,60,-2147483648,4,56,5,,-2147483648,2020-03-06T14:39:12.6878040Z
Kuwait,58,-2147483648,-2147483648,58,-2147483648,,-2147483648,2020-03-06T14:39:12.6878040Z
Thailand,48,1,31,16,1,,1,2020-03-06T14:39:12.6878040Z
Canada,48,-2147483648,8,40,11,,1,2020-03-06T14:39:12.6878040Z
Austria,47,-2147483648,2,45,4,,1,2020-03-06T14:39:12.6878040Z
Greece,45,-2147483648,-2147483648,45,14,,-2147483648,2020-03-06T14:39:12.6878040Z
Taiwan,44,1,15,28,-2147483648,,-2147483648,2020-03-06T14:39:12.6878040Z
Iraq,40,3,-2147483648,37,-2147483648,,-2147483648,2020-03-06T14:39:12.6878040Z
Iceland,37,-2147483648,-2147483648,37,2,,-2147483648,2020-03-06T14:39:12.6878040Z
India,31,-2147483648,3,28,1,,-2147483648,2020-03-06T14:39:12.6878040Z
UAE,28,-2147483648,5,23,-2147483648,,2,2020-03-06T14:39:12.6878040Z
San Marino,23,1,-2147483648,22,2,,4,2020-03-06T14:39:12.6878040Z
Denmark,23,-2147483648,1,22,3,,-2147483648,2020-03-06T14:39:12.6878040Z
Algeria,17,-2147483648,-2147483648,17,-2147483648,,-2147483648,2020-03-06T14:39:12.6878040Z
Israel,17,-2147483648,2,15,-2147483648,,-2147483648,2020-03-06T14:39:12.6878040Z
Lebanon,16,-2147483648,-2147483648,16,-2147483648,,1,2020-03-06T14:39:12.6878040Z
Oman,16,-2147483648,2,14,-2147483648,,-2147483648,2020-03-06T14:39:12.6878040Z
Vietnam,16,-2147483648,16,0,-2147483648,,-2147483648,2020-03-06T14:39:12.6878040Z
Egypt,15,-2147483648,1,14,12,,-2147483648,2020-03-06T14:39:12.6878040Z
Finland,15,-2147483648,1,14,3,,-2147483648,2020-03-06T14:39:12.6878040Z
Ecuador,13,-2147483648,-2147483648,13,-2147483648,,1,2020-03-06T14:39:12.6878040Z
Ireland,13,-2147483648,-2147483648,13,-2147483648,,-2147483648,2020-03-06T14:39:12.6878040Z
Portugal,13,-2147483648,-2147483648,13,4,,-2147483648,2020-03-06T14:39:12.6878040Z
Russia,13,-2147483648,2,11,6,,-2147483648,2020-03-06T14:39:12.6878040Z
Czechia,12,-2147483648,-2147483648,12,-2147483648,,-2147483648,2020-03-06T14:39:12.6878040Z
Macao,10,-2147483648,9,1,-2147483648,,-2147483648,2020-03-06T14:39:12.6878040Z
Croatia,10,-2147483648,-2147483648,10,-2147483648,,-2147483648,2020-03-06T14:39:12.6878040Z
Estonia,10,-2147483648,-2147483648,10,5,,-2147483648,2020-03-06T14:39:12.6878040Z
Brazil,9,-2147483648,-2147483648,9,1,,-2147483648,2020-03-06T14:39:12.6878040Z
Georgia,9,-2147483648,-2147483648,9,-2147483648,,1,2020-03-06T14:39:12.6878040Z
Qatar,8,-2147483648,-2147483648,8,-2147483648,,-2147483648,2020-03-06T14:39:12.6878040Z
Romania,8,-2147483648,3,5,2,,-2147483648,2020-03-06T14:39:12.6878040Z
Palestine,7,-2147483648,-2147483648,7,-2147483648,,-2147483648,2020-03-06T14:39:12.6878040Z
Azerbaijan,6,-2147483648,-2147483648,6,-2147483648,,-2147483648,2020-03-06T14:39:12.6878040Z
Belarus,6,-2147483648,-2147483648,6,-2147483648,,-2147483648,2020-03-06T14:39:12.6878040Z
Mexico,6,-2147483648,1,5,-2147483648,,-2147483648,2020-03-06T14:39:12.6878040Z
Pakistan,6,-2147483648,-2147483648,6,1,,-2147483648,2020-03-06T14:39:12.6878040Z
Slovenia,6,-2147483648,-2147483648,6,-2147483648,,-2147483648,2020-03-06T14:39:12.6878040Z
Philippines,5,1,2,2,2,,1,2020-03-06T14:39:12.6878040Z
Saudi Arabia,5,-2147483648,1,4,-2147483648,,-2147483648,2020-03-06T14:39:12.6878040Z
Indonesia,4,-2147483648,-2147483648,4,2,,-2147483648,2020-03-06T14:39:12.6878040Z
New Zealand,4,-2147483648,-2147483648,4,-2147483648,,-2147483648,2020-03-06T14:39:12.6878040Z
Senegal,4,-2147483648,-2147483648,4,-2147483648,,-2147483648,2020-03-06T14:39:12.6878040Z
Chile,4,-2147483648,-2147483648,4,-2147483648,,-2147483648,2020-03-06T14:39:12.6878040Z
Hungary,4,-2147483648,-2147483648,4,-2147483648,,-2147483648,2020-03-06T14:39:12.6878040Z
Dominican Republic,2,-2147483648,-2147483648,2,1,,-2147483648,2020-03-06T14:39:12.6878040Z
Luxembourg,2,-2147483648,-2147483648,2,-2147483648,,-2147483648,2020-03-06T14:39:12.6878040Z
Morocco,2,-2147483648,-2147483648,2,-2147483648,,1,2020-03-06T14:39:12.6878040Z
Argentina,2,-2147483648,-2147483648,2,-2147483648,,-2147483648,2020-03-06T14:39:12.6878040Z
Bosnia and Herzegovina,2,-2147483648,-2147483648,2,-2147483648,,-2147483648,2020-03-06T14:39:12.6878040Z
Afghanistan,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T14:39:12.6878040Z
Andorra,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T14:39:12.6878040Z
Armenia,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T14:39:12.6878040Z
