Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,NewCases,NewDeaths,SeriousAndCritical,LastUpdated
China,80430,3013,52259,25158,160,32,5952,2020-03-05T15:52:19.9101060Z
S. Korea,6088,40,135,5913,467,5,52,2020-03-05T15:52:19.9101060Z
Iran,3513,107,739,2667,591,15,-2147483648,2020-03-05T15:52:19.9101060Z
Italy,3089,107,276,2706,-2147483648,,295,2020-03-05T15:52:19.9101060Z
Diamond Princess,696,6,212,478,-2147483648,,35,2020-03-05T15:52:19.9101060Z
Germany,444,-2147483648,16,428,182,,2,2020-03-05T15:52:19.9101060Z
France,377,6,12,359,92,2,15,2020-03-05T15:52:19.9101060Z
Japan,361,6,43,312,30,,29,2020-03-05T15:52:19.9101060Z
Spain,259,3,2,254,31,1,7,2020-03-05T15:52:19.9101060Z
USA,163,11,9,143,5,,8,2020-03-05T15:52:19.9101060Z
Singapore,117,-2147483648,81,36,5,,7,2020-03-05T15:52:19.9101060Z
Switzerland,114,1,3,110,21,1,-2147483648,2020-03-05T15:52:19.9101060Z
Hong Kong,105,2,37,66,2,,6,2020-03-05T15:52:19.9101060Z
UK,90,-2147483648,8,82,3,,-2147483648,2020-03-05T15:52:19.9101060Z
Netherlands,82,-2147483648,-2147483648,82,44,,1,2020-03-05T15:52:19.9101060Z
Norway,72,-2147483648,-2147483648,72,13,,-2147483648,2020-03-05T15:52:19.9101060Z
Sweden,60,-2147483648,1,59,8,,-2147483648,2020-03-05T15:52:19.9101060Z
Kuwait,58,-2147483648,-2147483648,58,2,,-2147483648,2020-03-05T15:52:19.9101060Z
Bahrain,55,-2147483648,4,51,3,,-2147483648,2020-03-05T15:52:19.9101060Z
Malaysia,55,-2147483648,22,33,5,,-2147483648,2020-03-05T15:52:19.9101060Z
Australia,53,2,21,30,-2147483648,,1,2020-03-05T15:52:19.9101060Z
Belgium,50,-2147483648,1,49,27,,1,2020-03-05T15:52:19.9101060Z
Thailand,47,1,31,15,4,,1,2020-03-05T15:52:19.9101060Z
Taiwan,44,1,12,31,2,,-2147483648,2020-03-05T15:52:19.9101060Z
Austria,41,-2147483648,2,39,12,,1,2020-03-05T15:52:19.9101060Z
Iraq,35,2,-2147483648,33,-2147483648,,-2147483648,2020-03-05T15:52:19.9101060Z
Canada,35,-2147483648,7,28,1,,1,2020-03-05T15:52:19.9101060Z
Iceland,34,-2147483648,-2147483648,34,8,,-2147483648,2020-03-05T15:52:19.9101060Z
Greece,31,-2147483648,-2147483648,31,22,,-2147483648,2020-03-05T15:52:19.9101060Z
India,30,-2147483648,3,27,1,,-2147483648,2020-03-05T15:52:19.9101060Z
UAE,28,-2147483648,5,23,-2147483648,,2,2020-03-05T15:52:19.9101060Z
San Marino,21,1,-2147483648,20,5,,3,2020-03-05T15:52:19.9101060Z
Algeria,17,-2147483648,-2147483648,17,-2147483648,,-2147483648,2020-03-05T15:52:19.9101060Z
Lebanon,16,-2147483648,-2147483648,16,1,,1,2020-03-05T15:52:19.9101060Z
Oman,16,-2147483648,2,14,1,,-2147483648,2020-03-05T15:52:19.9101060Z
Vietnam,16,-2147483648,16,0,-2147483648,,-2147483648,2020-03-05T15:52:19.9101060Z
Denmark,15,-2147483648,-2147483648,15,-2147483648,,-2147483648,2020-03-05T15:52:19.9101060Z
Israel,15,-2147483648,2,13,-2147483648,,-2147483648,2020-03-05T15:52:19.9101060Z
