Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,NewCases,NewDeaths,SeriousAndCritical,LastUpdated
China,80152,2945,47397,29810,126,33,6806,2020-03-03T20:24:14.7448310Z
S. Korea,5186,34,34,5118,851,6,27,2020-03-03T20:24:14.7448310Z
Italy,2502,79,160,2263,466,27,229,2020-03-03T20:24:14.7448310Z
Iran,2336,77,435,1824,835,11,-2147483648,2020-03-03T20:24:14.7448310Z
Diamond Princess,706,6,100,600,-2147483648,,36,2020-03-03T20:24:14.7448310Z
Japan,293,6,43,244,19,,23,2020-03-03T20:24:14.7448310Z
France,204,4,12,188,13,1,8,2020-03-03T20:24:14.7448310Z
Germany,196,-2147483648,16,180,31,,2,2020-03-03T20:24:14.7448310Z
Spain,165,1,2,162,45,1,3,2020-03-03T20:24:14.7448310Z
Singapore,110,-2147483648,78,32,2,,6,2020-03-03T20:24:14.7448310Z
USA,108,9,9,90,8,3,7,2020-03-03T20:24:14.7448310Z
Hong Kong,101,2,37,62,1,,6,2020-03-03T20:24:14.7448310Z
Switzerland,57,-2147483648,2,55,27,,-2147483648,2020-03-03T20:24:14.7448310Z
Kuwait,56,-2147483648,-2147483648,56,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
U.K.,51,-2147483648,8,43,12,,-2147483648,2020-03-03T20:24:14.7448310Z
Bahrain,49,-2147483648,-2147483648,49,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Thailand,43,1,30,12,-2147483648,,1,2020-03-03T20:24:14.7448310Z
Taiwan,42,1,12,29,1,,1,2020-03-03T20:24:14.7448310Z
Australia,39,1,15,23,6,,1,2020-03-03T20:24:14.7448310Z
Malaysia,36,-2147483648,22,14,7,,-2147483648,2020-03-03T20:24:14.7448310Z
Iraq,32,-2147483648,-2147483648,32,5,,-2147483648,2020-03-03T20:24:14.7448310Z
Norway,32,-2147483648,-2147483648,32,7,,-2147483648,2020-03-03T20:24:14.7448310Z
Canada,29,-2147483648,7,22,2,,-2147483648,2020-03-03T20:24:14.7448310Z
Austria,24,-2147483648,-2147483648,24,6,,-2147483648,2020-03-03T20:24:14.7448310Z
Netherlands,24,-2147483648,-2147483648,24,6,,1,2020-03-03T20:24:14.7448310Z
Sweden,24,-2147483648,1,23,9,,-2147483648,2020-03-03T20:24:14.7448310Z
U.A.E.,21,-2147483648,5,16,-2147483648,,2,2020-03-03T20:24:14.7448310Z
Vietnam,16,-2147483648,16,0,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Belgium,13,-2147483648,1,12,5,,-2147483648,2020-03-03T20:24:14.7448310Z
Lebanon,13,-2147483648,-2147483648,13,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Israel,12,-2147483648,1,11,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Oman,12,-2147483648,2,10,6,,-2147483648,2020-03-03T20:24:14.7448310Z
Iceland,11,-2147483648,1,10,2,,-2147483648,2020-03-03T20:24:14.7448310Z
San Marino,10,1,-2147483648,9,2,,1,2020-03-03T20:24:14.7448310Z
Macao,10,-2147483648,9,1,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Croatia,9,-2147483648,-2147483648,9,1,,-2147483648,2020-03-03T20:24:14.7448310Z
Qatar,8,-2147483648,-2147483648,8,1,,-2147483648,2020-03-03T20:24:14.7448310Z
Ecuador,7,-2147483648,-2147483648,7,1,,1,2020-03-03T20:24:14.7448310Z
Finland,7,-2147483648,1,6,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Greece,7,-2147483648,-2147483648,7,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Denmark,6,-2147483648,-2147483648,6,2,,-2147483648,2020-03-03T20:24:14.7448310Z
India,6,-2147483648,3,3,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Mexico,6,-2147483648,1,5,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Algeria,5,-2147483648,-2147483648,5,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Czechia,5,-2147483648,-2147483648,5,1,,-2147483648,2020-03-03T20:24:14.7448310Z
Pakistan,5,-2147483648,-2147483648,5,1,,-2147483648,2020-03-03T20:24:14.7448310Z
Romania,4,-2147483648,1,3,1,,-2147483648,2020-03-03T20:24:14.7448310Z
Philippines,3,1,2,0,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Azerbaijan,3,-2147483648,-2147483648,3,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Georgia,3,-2147483648,-2147483648,3,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Russia,3,-2147483648,2,1,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Brazil,2,-2147483648,-2147483648,2,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Egypt,2,-2147483648,1,1,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Indonesia,2,-2147483648,-2147483648,2,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Portugal,2,-2147483648,-2147483648,2,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Afghanistan,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Andorra,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Armenia,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Belarus,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Cambodia,1,-2147483648,1,0,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Dominican Republic,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Estonia,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Ireland,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Jordan,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Latvia,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Lithuania,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Luxembourg,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
North Macedonia,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Monaco,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Morocco,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Nepal,1,-2147483648,1,0,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
New Zealand,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Nigeria,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Saudi Arabia,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Senegal,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Sri Lanka,1,-2147483648,1,0,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Tunisia,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-03T20:24:14.7448310Z
Ukraine,1,-2147483648,-2147483648,1,1,,-2147483648,2020-03-03T20:24:14.7448310Z
Argentina,1,-2147483648,-2147483648,1,1,,-2147483648,2020-03-03T20:24:14.7448310Z
Liechtenstein,1,-2147483648,-2147483648,1,1,,-2147483648,2020-03-03T20:24:14.7448310Z
Total:,92835,3168,48469,41198,2511,82,7161,2020-03-03T20:24:14.7448310Z
