Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,NewCases,NewDeaths,SeriousAndCritical,LastUpdated
China,80430,3012,52208,25210,160,31,5952,2020-03-05T01:55:01.2787200Z
S. Korea,5766,35,88,5643,580,3,52,2020-03-05T01:55:01.2787200Z
Italy,3089,107,276,2706,587,28,295,2020-03-05T01:55:01.2787200Z
Iran,2922,92,552,2278,586,15,-2147483648,2020-03-05T01:55:01.2787200Z
Diamond Princess,706,6,212,488,-2147483648,,35,2020-03-05T01:55:01.2787200Z
Japan,331,6,43,282,38,,29,2020-03-05T01:55:01.2787200Z
France,285,4,12,269,73,,15,2020-03-05T01:55:01.2787200Z
Germany,262,-2147483648,16,246,59,,2,2020-03-05T01:55:01.2787200Z
Spain,228,2,2,224,63,1,7,2020-03-05T01:55:01.2787200Z
USA,159,11,9,139,35,2,8,2020-03-05T01:55:01.2787200Z
Singapore,112,-2147483648,79,33,2,,7,2020-03-05T01:55:01.2787200Z
Hong Kong,103,2,37,64,2,,6,2020-03-05T01:55:01.2787200Z
Switzerland,93,-2147483648,3,90,35,,-2147483648,2020-03-05T01:55:01.2787200Z
U.K.,87,-2147483648,8,79,36,,-2147483648,2020-03-05T01:55:01.2787200Z
Norway,59,-2147483648,-2147483648,59,26,,-2147483648,2020-03-05T01:55:01.2787200Z
Kuwait,56,-2147483648,-2147483648,56,-2147483648,,-2147483648,2020-03-05T01:55:01.2787200Z
Bahrain,52,-2147483648,1,51,3,,-2147483648,2020-03-05T01:55:01.2787200Z
Sweden,52,-2147483648,1,51,22,,-2147483648,2020-03-05T01:55:01.2787200Z
Australia,50,2,21,27,11,1,1,2020-03-05T01:55:01.2787200Z
Malaysia,50,-2147483648,22,28,14,,-2147483648,2020-03-05T01:55:01.2787200Z
Thailand,43,1,30,12,-2147483648,,1,2020-03-05T01:55:01.2787200Z
Taiwan,42,1,12,29,-2147483648,,-2147483648,2020-03-05T01:55:01.2787200Z
