Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,NewCases,NewDeaths,SeriousAndCritical,LastUpdated
China,80576,3042,53929,23605,167,30,5737,2020-03-06T17:06:44.8606410Z
S. Korea,6593,43,135,6415,309,1,52,2020-03-06T17:06:44.8606410Z
Iran,4747,124,913,3710,1234,16,-2147483648,2020-03-06T17:06:44.8606410Z
Italy,4636,197,523,3916,778,49,462,2020-03-06T17:06:44.8606410Z
Diamond Princess,696,6,212,478,-2147483648,,34,2020-03-06T17:06:44.8606410Z
Germany,578,-2147483648,17,561,33,,8,2020-03-06T17:06:44.8606410Z
France,577,9,12,556,154,2,23,2020-03-06T17:06:44.8606410Z
Japan,420,6,46,368,56,,34,2020-03-06T17:06:44.8606410Z
Spain,386,5,3,378,104,2,9,2020-03-06T17:06:44.8606410Z
USA,239,14,15,210,18,2,8,2020-03-06T17:06:44.8606410Z
Switzerland,214,1,3,210,94,,-2147483648,2020-03-06T17:06:44.8606410Z
UK,163,2,18,143,47,1,-2147483648,2020-03-06T17:06:44.8606410Z
Singapore,130,-2147483648,81,49,13,,7,2020-03-06T17:06:44.8606410Z
Netherlands,128,1,-2147483648,127,46,1,1,2020-03-06T17:06:44.8606410Z
Norway,116,-2147483648,1,115,22,,-2147483648,2020-03-06T17:06:44.8606410Z
Belgium,109,-2147483648,1,108,59,,1,2020-03-06T17:06:44.8606410Z
Hong Kong,105,2,37,66,-2147483648,,6,2020-03-06T17:06:44.8606410Z
Sweden,101,-2147483648,1,100,7,,-2147483648,2020-03-06T17:06:44.8606410Z
Malaysia,83,-2147483648,22,61,28,,-2147483648,2020-03-06T17:06:44.8606410Z
Australia,60,2,22,36,-2147483648,,1,2020-03-06T17:06:44.8606410Z
Bahrain,60,-2147483648,4,56,5,,-2147483648,2020-03-06T17:06:44.8606410Z
Kuwait,58,-2147483648,-2147483648,58,-2147483648,,-2147483648,2020-03-06T17:06:44.8606410Z
Austria,55,-2147483648,2,53,12,,1,2020-03-06T17:06:44.8606410Z
Canada,49,-2147483648,8,41,12,,1,2020-03-06T17:06:44.8606410Z
Thailand,48,1,31,16,1,,1,2020-03-06T17:06:44.8606410Z
Greece,45,-2147483648,-2147483648,45,14,,-2147483648,2020-03-06T17:06:44.8606410Z
