Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,NewCases,NewDeaths,SeriousAndCritical,LastUpdated
China,80152,2945,47422,29785,1,2,6806,2020-03-03T23:00:01.2938080Z
S. Korea,5186,34,34,5118,851,6,27,2020-03-03T23:00:01.2938080Z
Italy,2502,79,160,2263,466,27,229,2020-03-03T23:00:01.2938080Z
Iran,2336,77,435,1824,835,11,-2147483648,2020-03-03T23:00:01.2938080Z
Diamond Princess,706,6,100,600,-2147483648,,36,2020-03-03T23:00:01.2938080Z
Japan,293,6,43,244,19,,23,2020-03-03T23:00:01.2938080Z
France,212,4,12,196,21,1,8,2020-03-03T23:00:01.2938080Z
Germany,196,-2147483648,16,180,31,,2,2020-03-03T23:00:01.2938080Z
Spain,165,1,2,162,45,1,3,2020-03-03T23:00:01.2938080Z
USA,118,9,9,100,18,3,7,2020-03-03T23:00:01.2938080Z
Singapore,110,-2147483648,78,32,2,,7,2020-03-03T23:00:01.2938080Z
Hong Kong,101,2,37,62,1,,6,2020-03-03T23:00:01.2938080Z
Switzerland,58,-2147483648,2,56,28,,-2147483648,2020-03-03T23:00:01.2938080Z
Kuwait,56,-2147483648,-2147483648,56,-2147483648,,-2147483648,2020-03-03T23:00:01.2938080Z
U.K.,51,-2147483648,8,43,12,,-2147483648,2020-03-03T23:00:01.2938080Z
Bahrain,49,-2147483648,-2147483648,49,-2147483648,,-2147483648,2020-03-03T23:00:01.2938080Z
Thailand,43,1,30,12,-2147483648,,1,2020-03-03T23:00:01.2938080Z
Taiwan,42,1,12,29,1,,1,2020-03-03T23:00:01.2938080Z
Australia,39,1,15,23,6,,1,2020-03-03T23:00:01.2938080Z
Malaysia,36,-2147483648,22,14,7,,-2147483648,2020-03-03T23:00:01.2938080Z
Norway,33,-2147483648,-2147483648,33,8,,-2147483648,2020-03-03T23:00:01.2938080Z
Iraq,32,-2147483648,-2147483648,32,5,,-2147483648,2020-03-03T23:00:01.2938080Z
Canada,30,-2147483648,7,23,3,,-2147483648,2020-03-03T23:00:01.2938080Z
Sweden,30,-2147483648,1,29,15,,-2147483648,2020-03-03T23:00:01.2938080Z
U.A.E.,27,-2147483648,5,22,6,,2,2020-03-03T23:00:01.2938080Z
Austria,24,-2147483648,-2147483648,24,6,,-2147483648,2020-03-03T23:00:01.2938080Z
Netherlands,23,-2147483648,-2147483648,23,5,,1,2020-03-03T23:00:01.2938080Z
Vietnam,16,-2147483648,16,0,-2147483648,,-2147483648,2020-03-03T23:00:01.2938080Z
Belgium,13,-2147483648,1,12,5,,-2147483648,2020-03-03T23:00:01.2938080Z
Lebanon,13,-2147483648,-2147483648,13,-2147483648,,-2147483648,2020-03-03T23:00:01.2938080Z
Israel,12,-2147483648,1,11,-2147483648,,-2147483648,2020-03-03T23:00:01.2938080Z
Oman,12,-2147483648,2,10,6,,-2147483648,2020-03-03T23:00:01.2938080Z
Iceland,11,-2147483648,1,10,2,,-2147483648,2020-03-03T23:00:01.2938080Z
San Marino,10,1,-2147483648,9,2,,1,2020-03-03T23:00:01.2938080Z
Macao,10,-2147483648,9,1,-2147483648,,-2147483648,2020-03-03T23:00:01.2938080Z
Denmark,10,-2147483648,-2147483648,10,6,,-2147483648,2020-03-03T23:00:01.2938080Z
Croatia,9,-2147483648,-2147483648,9,1,,-2147483648,2020-03-03T23:00:01.2938080Z
Algeria,8,-2147483648,-2147483648,8,3,,-2147483648,2020-03-03T23:00:01.2938080Z
Qatar,8,-2147483648,-2147483648,8,1,,-2147483648,2020-03-03T23:00:01.2938080Z
Ecuador,7,-2147483648,-2147483648,7,1,,1,2020-03-03T23:00:01.2938080Z
Finland,7,-2147483648,1,6,-2147483648,,-2147483648,2020-03-03T23:00:01.2938080Z
Greece,7,-2147483648,-2147483648,7,-2147483648,,-2147483648,2020-03-03T23:00:01.2938080Z
India,6,-2147483648,3,3,-2147483648,,-2147483648,2020-03-03T23:00:01.2938080Z
Mexico,6,-2147483648,1,5,-2147483648,,-2147483648,2020-03-03T23:00:01.2938080Z
Czechia,5,-2147483648,-2147483648,5,1,,-2147483648,2020-03-03T23:00:01.2938080Z
Pakistan,5,-2147483648,-2147483648,5,1,,-2147483648,2020-03-03T23:00:01.2938080Z
Portugal,4,-2147483648,-2147483648,4,2,,-2147483648,2020-03-03T23:00:01.2938080Z
Romania,4,-2147483648,1,3,1,,-2147483648,2020-03-03T23:00:01.2938080Z
Philippines,3,1,2,0,-2147483648,,-2147483648,2020-03-03T23:00:01.2938080Z
Azerbaijan,3,-2147483648,-2147483648,3,-2147483648,,-2147483648,2020-03-03T23:00:01.2938080Z
Georgia,3,-2147483648,-2147483648,3,-2147483648,,-2147483648,2020-03-03T23:00:01.2938080Z
Russia,3,-2147483648,2,1,-2147483648,,-2147483648,2020-03-03T23:00:01.2938080Z
Brazil,2,-2147483648,-2147483648,2,-2147483648,,-2147483648,2020-03-03T23:00:01.2938080Z
Egypt,2,-2147483648,1,1,-2147483648,,-2147483648,2020-03-03T23:00:01.2938080Z
Estonia,2,-2147483648,-2147483648,2,1,,-2147483648,2020-03-03T23:00:01.2938080Z
Indonesia,2,-2147483648,-2147483648,2,-2147483648,,-2147483648,2020-03-03T23:00:01.2938080Z
Ireland,2,-2147483648,-2147483648,2,1,,-2147483648,2020-03-03T23:00:01.2938080Z
Senegal,2,-2147483648,-2147483648,2,1,,-2147483648,2020-03-03T23:00:01.2938080Z
Afghanistan,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-03T23:00:01.2938080Z
Andorra,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-03T23:00:01.2938080Z
Armenia,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-03T23:00:01.2938080Z
Belarus,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-03T23:00:01.2938080Z
Cambodia,1,-2147483648,1,0,-2147483648,,-2147483648,2020-03-03T23:00:01.2938080Z
Dominican Republic,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-03T23:00:01.2938080Z
Jordan,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-03T23:00:01.2938080Z
Latvia,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-03T23:00:01.2938080Z
Lithuania,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-03T23:00:01.2938080Z
Luxembourg,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-03T23:00:01.2938080Z
North Macedonia,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-03T23:00:01.2938080Z
Monaco,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-03T23:00:01.2938080Z
