Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,NewCases,NewDeaths,SeriousAndCritical,LastUpdated
China,79828,2870,42114,34844,4,,7365,2020-03-01T22:10:38.2196790Z
S. Korea,3736,21,30,3685,586,4,10,2020-03-01T22:10:38.2196790Z
Italy,1694,34,83,1577,566,5,140,2020-03-01T22:10:38.2196790Z
Iran,978,54,175,749,385,11,-2147483648,2020-03-01T22:10:38.2196790Z
Diamond Princess,705,7,10,688,-2147483648,1,36,2020-03-01T22:10:38.2196790Z
Japan,256,6,32,218,15,1,19,2020-03-01T22:10:38.2196790Z
France,130,2,12,116,30,,9,2020-03-01T22:10:38.2196790Z
Germany,129,-2147483648,16,113,50,,2,2020-03-01T22:10:38.2196790Z
Singapore,106,-2147483648,74,32,4,,7,2020-03-01T22:10:38.2196790Z
Hong Kong,100,2,36,62,5,,6,2020-03-01T22:10:38.2196790Z
Spain,84,-2147483648,2,82,26,,3,2020-03-01T22:10:38.2196790Z
USA,73,1,9,63,5,,3,2020-03-01T22:10:38.2196790Z
Bahrain,47,-2147483648,-2147483648,47,6,,-2147483648,2020-03-01T22:10:38.2196790Z
Kuwait,46,-2147483648,-2147483648,46,1,,-2147483648,2020-03-01T22:10:38.2196790Z
Thailand,42,1,30,11,-2147483648,1,1,2020-03-01T22:10:38.2196790Z
Taiwan,40,1,12,27,1,,1,2020-03-01T22:10:38.2196790Z
U.K.,36,-2147483648,8,28,13,,-2147483648,2020-03-01T22:10:38.2196790Z
Malaysia,29,-2147483648,22,7,4,,-2147483648,2020-03-01T22:10:38.2196790Z
Australia,27,1,15,11,2,1,-2147483648,2020-03-01T22:10:38.2196790Z
Switzerland,24,-2147483648,1,23,5,,-2147483648,2020-03-01T22:10:38.2196790Z
U.A.E.,21,-2147483648,5,16,-2147483648,,2,2020-03-01T22:10:38.2196790Z
Canada,20,-2147483648,4,16,-2147483648,,-2147483648,2020-03-01T22:10:38.2196790Z
Iraq,19,-2147483648,-2147483648,19,6,,-2147483648,2020-03-01T22:10:38.2196790Z
Norway,19,-2147483648,-2147483648,19,4,,-2147483648,2020-03-01T22:10:38.2196790Z
Vietnam,16,-2147483648,16,0,-2147483648,,-2147483648,2020-03-01T22:10:38.2196790Z
Austria,14,-2147483648,-2147483648,14,4,,-2147483648,2020-03-01T22:10:38.2196790Z
Sweden,14,-2147483648,-2147483648,14,1,,-2147483648,2020-03-01T22:10:38.2196790Z
Macao,10,-2147483648,6,4,-2147483648,,-2147483648,2020-03-01T22:10:38.2196790Z
Israel,10,-2147483648,1,9,3,,-2147483648,2020-03-01T22:10:38.2196790Z
Lebanon,10,-2147483648,-2147483648,10,3,,-2147483648,2020-03-01T22:10:38.2196790Z
Netherlands,10,-2147483648,-2147483648,10,3,,1,2020-03-01T22:10:38.2196790Z
Croatia,7,-2147483648,-2147483648,7,1,,-2147483648,2020-03-01T22:10:38.2196790Z
Greece,7,-2147483648,-2147483648,7,-2147483648,,-2147483648,2020-03-01T22:10:38.2196790Z
Finland,6,-2147483648,1,5,3,,-2147483648,2020-03-01T22:10:38.2196790Z
Oman,6,-2147483648,1,5,-2147483648,,-2147483648,2020-03-01T22:10:38.2196790Z
Mexico,5,-2147483648,-2147483648,5,1,,-2147483648,2020-03-01T22:10:38.2196790Z
Pakistan,4,-2147483648,-2147483648,4,-2147483648,,-2147483648,2020-03-01T22:10:38.2196790Z
Philippines,3,1,2,0,-2147483648,,-2147483648,2020-03-01T22:10:38.2196790Z
Azerbaijan,3,-2147483648,-2147483648,3,-2147483648,,-2147483648,2020-03-01T22:10:38.2196790Z
Czechia,3,-2147483648,-2147483648,3,3,,-2147483648,2020-03-01T22:10:38.2196790Z
Denmark,3,-2147483648,-2147483648,3,-2147483648,,-2147483648,2020-03-01T22:10:38.2196790Z
Georgia,3,-2147483648,-2147483648,3,-2147483648,,-2147483648,2020-03-01T22:10:38.2196790Z
Iceland,3,-2147483648,-2147483648,3,2,,-2147483648,2020-03-01T22:10:38.2196790Z
India,3,-2147483648,3,0,-2147483648,,-2147483648,2020-03-01T22:10:38.2196790Z
