Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,NewCases,NewDeaths,SeriousAndCritical,LastUpdated
China,80026,2912,44504,32610,202,42,7110,2020-03-02T03:53:11.0193470Z
S. Korea,4212,22,30,4160,476,1,27,2020-03-02T03:53:11.0193470Z
Italy,1701,41,83,1577,-2147483648,,140,2020-03-02T03:53:11.0193470Z
Iran,978,54,175,749,-2147483648,,-2147483648,2020-03-02T03:53:11.0193470Z
Diamond Princess,705,7,10,688,-2147483648,,36,2020-03-02T03:53:11.0193470Z
Japan,256,6,42,208,-2147483648,,19,2020-03-02T03:53:11.0193470Z
France,130,2,12,116,-2147483648,,9,2020-03-02T03:53:11.0193470Z
Germany,130,-2147483648,16,114,-2147483648,,2,2020-03-02T03:53:11.0193470Z
Singapore,106,-2147483648,74,32,-2147483648,,7,2020-03-02T03:53:11.0193470Z
Hong Kong,100,2,36,62,-2147483648,,6,2020-03-02T03:53:11.0193470Z
USA,84,2,9,73,9,1,8,2020-03-02T03:53:11.0193470Z
Spain,84,-2147483648,2,82,-2147483648,,3,2020-03-02T03:53:11.0193470Z
Bahrain,47,-2147483648,-2147483648,47,-2147483648,,-2147483648,2020-03-02T03:53:11.0193470Z
Kuwait,46,-2147483648,-2147483648,46,-2147483648,,-2147483648,2020-03-02T03:53:11.0193470Z
Thailand,42,1,30,11,-2147483648,,1,2020-03-02T03:53:11.0193470Z
Taiwan,40,1,12,27,-2147483648,,1,2020-03-02T03:53:11.0193470Z
U.K.,36,-2147483648,8,28,-2147483648,,-2147483648,2020-03-02T03:53:11.0193470Z
Australia,29,1,15,13,-2147483648,,1,2020-03-02T03:53:11.0193470Z
Malaysia,29,-2147483648,22,7,-2147483648,,-2147483648,2020-03-02T03:53:11.0193470Z
Canada,24,-2147483648,4,20,-2147483648,,-2147483648,2020-03-02T03:53:11.0193470Z
Switzerland,24,-2147483648,1,23,-2147483648,,-2147483648,2020-03-02T03:53:11.0193470Z
U.A.E.,21,-2147483648,5,16,-2147483648,,2,2020-03-02T03:53:11.0193470Z
