Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,NewCases,NewDeaths,SeriousAndCritical,LastUpdated
China,80576,3042,53929,23605,167,30,5737,2020-03-06T19:28:58.5654480Z
S. Korea,6593,43,135,6415,309,1,52,2020-03-06T19:28:58.5654480Z
Iran,4747,124,913,3710,1234,16,-2147483648,2020-03-06T19:28:58.5654480Z
Italy,4636,197,523,3916,778,49,462,2020-03-06T19:28:58.5654480Z
Diamond Princess,696,6,212,478,-2147483648,,34,2020-03-06T19:28:58.5654480Z
Germany,670,-2147483648,17,653,125,,8,2020-03-06T19:28:58.5654480Z
France,613,9,12,592,190,2,23,2020-03-06T19:28:58.5654480Z
Japan,420,6,46,368,56,,34,2020-03-06T19:28:58.5654480Z
Spain,387,5,3,379,105,2,9,2020-03-06T19:28:58.5654480Z
USA,259,14,15,230,38,2,8,2020-03-06T19:28:58.5654480Z
Switzerland,214,1,3,210,94,,-2147483648,2020-03-06T19:28:58.5654480Z
UK,163,2,18,143,47,1,-2147483648,2020-03-06T19:28:58.5654480Z
Sweden,136,-2147483648,1,135,42,,-2147483648,2020-03-06T19:28:58.5654480Z
Singapore,130,-2147483648,81,49,13,,7,2020-03-06T19:28:58.5654480Z
Netherlands,128,1,-2147483648,127,46,1,1,2020-03-06T19:28:58.5654480Z
Norway,120,-2147483648,1,119,26,,-2147483648,2020-03-06T19:28:58.5654480Z
Belgium,109,-2147483648,1,108,59,,1,2020-03-06T19:28:58.5654480Z
Hong Kong,105,2,37,66,-2147483648,,6,2020-03-06T19:28:58.5654480Z
Malaysia,83,-2147483648,23,60,28,,-2147483648,2020-03-06T19:28:58.5654480Z
Australia,63,2,22,39,3,,1,2020-03-06T19:28:58.5654480Z
Bahrain,60,-2147483648,4,56,5,,-2147483648,2020-03-06T19:28:58.5654480Z
Kuwait,58,-2147483648,1,57,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
Austria,55,-2147483648,2,53,12,,1,2020-03-06T19:28:58.5654480Z
Canada,49,-2147483648,8,41,12,,1,2020-03-06T19:28:58.5654480Z
Thailand,48,1,31,16,1,,1,2020-03-06T19:28:58.5654480Z
Taiwan,45,1,15,29,1,,-2147483648,2020-03-06T19:28:58.5654480Z
Greece,45,-2147483648,-2147483648,45,14,,-2147483648,2020-03-06T19:28:58.5654480Z
Iceland,43,-2147483648,-2147483648,43,8,,-2147483648,2020-03-06T19:28:58.5654480Z
Iraq,40,3,1,36,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
India,31,-2147483648,3,28,1,,-2147483648,2020-03-06T19:28:58.5654480Z
UAE,29,-2147483648,5,24,1,,2,2020-03-06T19:28:58.5654480Z
San Marino,23,1,-2147483648,22,2,,4,2020-03-06T19:28:58.5654480Z
Denmark,23,-2147483648,1,22,3,,-2147483648,2020-03-06T19:28:58.5654480Z
Lebanon,22,-2147483648,-2147483648,22,6,,1,2020-03-06T19:28:58.5654480Z
Israel,21,-2147483648,2,19,4,,-2147483648,2020-03-06T19:28:58.5654480Z
Czechia,18,-2147483648,-2147483648,18,6,,-2147483648,2020-03-06T19:28:58.5654480Z
Algeria,17,-2147483648,-2147483648,17,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
Vietnam,17,-2147483648,16,1,1,,-2147483648,2020-03-06T19:28:58.5654480Z
Oman,16,-2147483648,2,14,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
Egypt,15,-2147483648,1,14,12,,-2147483648,2020-03-06T19:28:58.5654480Z
Finland,15,-2147483648,1,14,3,,-2147483648,2020-03-06T19:28:58.5654480Z
Ecuador,13,-2147483648,-2147483648,13,-2147483648,,1,2020-03-06T19:28:58.5654480Z
Ireland,13,-2147483648,-2147483648,13,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
Portugal,13,-2147483648,-2147483648,13,4,,-2147483648,2020-03-06T19:28:58.5654480Z
Russia,13,-2147483648,2,11,6,,-2147483648,2020-03-06T19:28:58.5654480Z
Croatia,11,-2147483648,-2147483648,11,1,,-2147483648,2020-03-06T19:28:58.5654480Z
Qatar,11,-2147483648,-2147483648,11,3,,-2147483648,2020-03-06T19:28:58.5654480Z
Macao,10,-2147483648,9,1,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
Estonia,10,-2147483648,-2147483648,10,5,,-2147483648,2020-03-06T19:28:58.5654480Z
Brazil,9,-2147483648,-2147483648,9,1,,-2147483648,2020-03-06T19:28:58.5654480Z
Georgia,9,-2147483648,-2147483648,9,-2147483648,,1,2020-03-06T19:28:58.5654480Z
Romania,9,-2147483648,3,6,3,,-2147483648,2020-03-06T19:28:58.5654480Z
Slovenia,8,-2147483648,-2147483648,8,2,,-2147483648,2020-03-06T19:28:58.5654480Z
Palestine,7,-2147483648,-2147483648,7,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
Azerbaijan,6,-2147483648,-2147483648,6,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
Belarus,6,-2147483648,-2147483648,6,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
Mexico,6,-2147483648,1,5,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
Pakistan,6,-2147483648,1,5,1,,-2147483648,2020-03-06T19:28:58.5654480Z
Philippines,5,1,2,2,2,,1,2020-03-06T19:28:58.5654480Z
Saudi Arabia,5,-2147483648,1,4,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
Chile,5,-2147483648,-2147483648,5,1,,-2147483648,2020-03-06T19:28:58.5654480Z
Poland,5,-2147483648,-2147483648,5,4,,-2147483648,2020-03-06T19:28:58.5654480Z
Indonesia,4,-2147483648,-2147483648,4,2,,-2147483648,2020-03-06T19:28:58.5654480Z
New Zealand,4,-2147483648,-2147483648,4,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
Senegal,4,-2147483648,-2147483648,4,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
Hungary,4,-2147483648,-2147483648,4,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
Bosnia and Herzegovina,3,-2147483648,-2147483648,3,1,,-2147483648,2020-03-06T19:28:58.5654480Z
Dominican Republic,2,-2147483648,-2147483648,2,1,,-2147483648,2020-03-06T19:28:58.5654480Z
Luxembourg,2,-2147483648,-2147483648,2,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
Morocco,2,-2147483648,-2147483648,2,-2147483648,,1,2020-03-06T19:28:58.5654480Z
Argentina,2,-2147483648,-2147483648,2,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
Afghanistan,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
Andorra,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
Armenia,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
Cambodia,1,-2147483648,1,0,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
Jordan,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
Latvia,1,-2147483648,1,0,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
Lithuania,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
North Macedonia,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
Monaco,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
Nepal,1,-2147483648,1,0,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
Nigeria,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
Sri Lanka,1,-2147483648,1,0,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
Tunisia,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
Ukraine,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
Bhutan,1,-2147483648,-2147483648,1,1,,-2147483648,2020-03-06T19:28:58.5654480Z
Cameroon,1,-2147483648,-2147483648,1,1,,-2147483648,2020-03-06T19:28:58.5654480Z
Costa Rica,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
Gibraltar,1,-2147483648,-2147483648,1,-2147483648,,1,2020-03-06T19:28:58.5654480Z
Vatican City,1,-2147483648,-2147483648,1,1,,-2147483648,2020-03-06T19:28:58.5654480Z
Liechtenstein,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
Peru,1,-2147483648,-2147483648,1,1,,-2147483648,2020-03-06T19:28:58.5654480Z
Serbia,1,-2147483648,-2147483648,1,1,,-2147483648,2020-03-06T19:28:58.5654480Z
Slovakia,1,-2147483648,-2147483648,1,1,,-2147483648,2020-03-06T19:28:58.5654480Z
South Africa,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T19:28:58.5654480Z
Togo,1,-2147483648,-2147483648,1,1,,-2147483648,2020-03-06T19:28:58.5654480Z
Total:,101770,3461,56108,42201,3496,104,6398,2020-03-06T19:28:58.5654480Z
