Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,NewCases,NewDeaths,SeriousAndCritical,LastUpdated
China,80151,2944,47232,29975,125,32,6806,2020-03-03T02:21:16.6698390Z
S. Korea,4812,34,30,4748,477,6,27,2020-03-03T02:21:16.6698390Z
Italy,2036,52,149,1835,-2147483648,,166,2020-03-03T02:21:16.6698390Z
Iran,1501,66,291,1144,-2147483648,,-2147483648,2020-03-03T02:21:16.6698390Z
Diamond Princess,706,7,100,599,1,,36,2020-03-03T02:21:16.6698390Z
Japan,274,6,42,226,-2147483648,,19,2020-03-03T02:21:16.6698390Z
France,191,3,12,176,-2147483648,,8,2020-03-03T02:21:16.6698390Z
Germany,165,-2147483648,16,149,-2147483648,,2,2020-03-03T02:21:16.6698390Z
Spain,120,-2147483648,2,118,-2147483648,,3,2020-03-03T02:21:16.6698390Z
Singapore,108,-2147483648,78,30,-2147483648,,6,2020-03-03T02:21:16.6698390Z
USA,100,6,9,85,-2147483648,,7,2020-03-03T02:21:16.6698390Z
Hong Kong,100,2,36,62,-2147483648,,6,2020-03-03T02:21:16.6698390Z
Kuwait,56,-2147483648,-2147483648,56,-2147483648,,-2147483648,2020-03-03T02:21:16.6698390Z
Bahrain,49,-2147483648,-2147483648,49,-2147483648,,-2147483648,2020-03-03T02:21:16.6698390Z
Thailand,43,1,30,12,-2147483648,,1,2020-03-03T02:21:16.6698390Z
Taiwan,41,1,12,28,-2147483648,,1,2020-03-03T02:21:16.6698390Z
U.K.,40,-2147483648,8,32,-2147483648,,-2147483648,2020-03-03T02:21:16.6698390Z
Australia,33,1,15,17,-2147483648,,1,2020-03-03T02:21:16.6698390Z
Switzerland,30,-2147483648,1,29,-2147483648,,-2147483648,2020-03-03T02:21:16.6698390Z
Malaysia,29,-2147483648,22,7,-2147483648,,-2147483648,2020-03-03T02:21:16.6698390Z
Canada,27,-2147483648,7,20,-2147483648,,-2147483648,2020-03-03T02:21:16.6698390Z
Iraq,26,-2147483648,-2147483648,26,-2147483648,,-2147483648,2020-03-03T02:21:16.6698390Z
