Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,NewCases,NewDeaths,SeriousAndCritical,LastUpdated
China,80152,2945,47397,29810,126,33,6806,2020-03-03T14:56:00.1513930Z
S. Korea,5186,28,34,5124,851,,27,2020-03-03T14:56:00.1513930Z
Iran,2336,77,435,1824,835,11,-2147483648,2020-03-03T14:56:00.1513930Z
Italy,2036,52,149,1835,-2147483648,,166,2020-03-03T14:56:00.1513930Z
Diamond Princess,706,6,100,600,-2147483648,,36,2020-03-03T14:56:00.1513930Z
Japan,283,6,43,234,9,,23,2020-03-03T14:56:00.1513930Z
France,191,3,12,176,-2147483648,,8,2020-03-03T14:56:00.1513930Z
Germany,188,-2147483648,16,172,23,,2,2020-03-03T14:56:00.1513930Z
Spain,153,-2147483648,2,151,33,,3,2020-03-03T14:56:00.1513930Z
Singapore,110,-2147483648,78,32,2,,6,2020-03-03T14:56:00.1513930Z
USA,103,6,9,88,3,,7,2020-03-03T14:56:00.1513930Z
Hong Kong,101,2,37,62,1,,6,2020-03-03T14:56:00.1513930Z
Kuwait,56,-2147483648,-2147483648,56,-2147483648,,-2147483648,2020-03-03T14:56:00.1513930Z
U.K.,51,-2147483648,8,43,12,,-2147483648,2020-03-03T14:56:00.1513930Z
Bahrain,49,-2147483648,-2147483648,49,-2147483648,,-2147483648,2020-03-03T14:56:00.1513930Z
Switzerland,47,-2147483648,1,46,17,,-2147483648,2020-03-03T14:56:00.1513930Z
Thailand,43,1,30,12,-2147483648,,1,2020-03-03T14:56:00.1513930Z
Taiwan,42,1,12,29,1,,1,2020-03-03T14:56:00.1513930Z
Australia,39,1,15,23,6,,1,2020-03-03T14:56:00.1513930Z
Malaysia,36,-2147483648,22,14,7,,-2147483648,2020-03-03T14:56:00.1513930Z
Norway,32,-2147483648,-2147483648,32,7,,-2147483648,2020-03-03T14:56:00.1513930Z
Canada,27,-2147483648,7,20,-2147483648,,-2147483648,2020-03-03T14:56:00.1513930Z
Iraq,26,-2147483648,-2147483648,26,-2147483648,,-2147483648,2020-03-03T14:56:00.1513930Z
Netherlands,24,-2147483648,-2147483648,24,6,,1,2020-03-03T14:56:00.1513930Z
Sweden,24,-2147483648,-2147483648,24,9,,-2147483648,2020-03-03T14:56:00.1513930Z
Austria,21,-2147483648,-2147483648,21,3,,-2147483648,2020-03-03T14:56:00.1513930Z
U.A.E.,21,-2147483648,5,16,-2147483648,,2,2020-03-03T14:56:00.1513930Z
Vietnam,16,-2147483648,16,0,-2147483648,,-2147483648,2020-03-03T14:56:00.1513930Z
Belgium,13,-2147483648,1,12,5,,-2147483648,2020-03-03T14:56:00.1513930Z
Lebanon,13,-2147483648,-2147483648,13,-2147483648,,-2147483648,2020-03-03T14:56:00.1513930Z
Israel,12,-2147483648,1,11,-2147483648,,-2147483648,2020-03-03T14:56:00.1513930Z
Oman,12,-2147483648,2,10,6,,-2147483648,2020-03-03T14:56:00.1513930Z
Iceland,11,-2147483648,1,10,2,,-2147483648,2020-03-03T14:56:00.1513930Z
San Marino,10,1,-2147483648,9,2,,1,2020-03-03T14:56:00.1513930Z
Macao,10,-2147483648,9,1,-2147483648,,-2147483648,2020-03-03T14:56:00.1513930Z
Croatia,9,-2147483648,-2147483648,9,1,,-2147483648,2020-03-03T14:56:00.1513930Z
Qatar,8,-2147483648,-2147483648,8,1,,-2147483648,2020-03-03T14:56:00.1513930Z
Ecuador,7,-2147483648,-2147483648,7,1,,1,2020-03-03T14:56:00.1513930Z
Finland,7,-2147483648,1,6,-2147483648,,-2147483648,2020-03-03T14:56:00.1513930Z
Greece,7,-2147483648,-2147483648,7,-2147483648,,-2147483648,2020-03-03T14:56:00.1513930Z
Denmark,6,-2147483648,-2147483648,6,2,,-2147483648,2020-03-03T14:56:00.1513930Z
