Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,NewCases,NewDeaths,SeriousAndCritical,LastUpdated
China,80552,3042,53755,23755,143,30,5737,2020-03-06T03:30:24.7109180Z
S. Korea,6284,40,135,6109,-2147483648,,52,2020-03-06T03:30:24.7109180Z
Italy,3858,148,414,3296,-2147483648,,351,2020-03-06T03:30:24.7109180Z
Iran,3513,108,739,2666,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Diamond Princess,696,6,212,478,-2147483648,,35,2020-03-06T03:30:24.7109180Z
Germany,545,-2147483648,17,528,-2147483648,,2,2020-03-06T03:30:24.7109180Z
France,423,7,12,404,-2147483648,,23,2020-03-06T03:30:24.7109180Z
Japan,364,6,43,315,-2147483648,,29,2020-03-06T03:30:24.7109180Z
Spain,282,3,3,276,-2147483648,,7,2020-03-06T03:30:24.7109180Z
USA,226,12,9,205,5,,8,2020-03-06T03:30:24.7109180Z
Switzerland,120,1,3,116,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Singapore,117,-2147483648,81,36,-2147483648,,7,2020-03-06T03:30:24.7109180Z
UK,116,1,18,97,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Hong Kong,105,2,37,66,-2147483648,,6,2020-03-06T03:30:24.7109180Z
Sweden,94,-2147483648,1,93,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Norway,91,-2147483648,-2147483648,91,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Netherlands,82,-2147483648,-2147483648,82,-2147483648,,1,2020-03-06T03:30:24.7109180Z
Australia,60,2,22,36,-2147483648,,1,2020-03-06T03:30:24.7109180Z
Kuwait,58,-2147483648,-2147483648,58,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Bahrain,55,-2147483648,4,51,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Malaysia,55,-2147483648,22,33,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Belgium,50,-2147483648,1,49,-2147483648,,1,2020-03-06T03:30:24.7109180Z
Thailand,47,1,31,15,-2147483648,,1,2020-03-06T03:30:24.7109180Z
Canada,46,-2147483648,8,38,9,,1,2020-03-06T03:30:24.7109180Z
Taiwan,44,1,12,31,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Austria,43,-2147483648,2,41,-2147483648,,1,2020-03-06T03:30:24.7109180Z
Iraq,36,3,-2147483648,33,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Iceland,35,-2147483648,-2147483648,35,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Greece,31,-2147483648,-2147483648,31,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
India,30,-2147483648,3,27,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
UAE,28,-2147483648,5,23,-2147483648,,2,2020-03-06T03:30:24.7109180Z
San Marino,21,1,-2147483648,20,-2147483648,,3,2020-03-06T03:30:24.7109180Z
Denmark,20,-2147483648,1,19,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Algeria,17,-2147483648,-2147483648,17,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Israel,17,-2147483648,2,15,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Lebanon,16,-2147483648,-2147483648,16,-2147483648,,1,2020-03-06T03:30:24.7109180Z
Oman,16,-2147483648,2,14,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Vietnam,16,-2147483648,16,0,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Ecuador,13,-2147483648,-2147483648,13,-2147483648,,1,2020-03-06T03:30:24.7109180Z
Ireland,13,-2147483648,-2147483648,13,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Czechia,12,-2147483648,-2147483648,12,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Finland,12,-2147483648,1,11,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Macao,10,-2147483648,9,1,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Croatia,10,-2147483648,-2147483648,10,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Georgia,9,-2147483648,-2147483648,9,-2147483648,,1,2020-03-06T03:30:24.7109180Z
Portugal,9,-2147483648,-2147483648,9,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Brazil,8,-2147483648,-2147483648,8,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Qatar,8,-2147483648,-2147483648,8,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Palestine,7,-2147483648,-2147483648,7,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Azerbaijan,6,-2147483648,-2147483648,6,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Belarus,6,-2147483648,-2147483648,6,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Mexico,6,-2147483648,1,5,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Romania,6,-2147483648,1,5,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Slovenia,6,-2147483648,-2147483648,6,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Estonia,5,-2147483648,-2147483648,5,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Pakistan,5,-2147483648,-2147483648,5,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Saudi Arabia,5,-2147483648,1,4,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
New Zealand,4,-2147483648,-2147483648,4,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Russia,4,-2147483648,2,2,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Senegal,4,-2147483648,-2147483648,4,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Chile,4,-2147483648,-2147483648,4,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Hungary,4,-2147483648,-2147483648,4,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Philippines,3,1,2,0,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Egypt,3,-2147483648,1,2,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Indonesia,2,-2147483648,-2147483648,2,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Luxembourg,2,-2147483648,-2147483648,2,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Morocco,2,-2147483648,-2147483648,2,-2147483648,,1,2020-03-06T03:30:24.7109180Z
Argentina,2,-2147483648,-2147483648,2,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Bosnia and Herzegovina,2,-2147483648,-2147483648,2,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Afghanistan,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Andorra,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Armenia,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Cambodia,1,-2147483648,1,0,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Dominican Republic,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Jordan,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Latvia,1,-2147483648,1,0,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Lithuania,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
North Macedonia,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Monaco,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Nepal,1,-2147483648,1,0,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Nigeria,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Sri Lanka,1,-2147483648,1,0,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Tunisia,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Ukraine,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Bhutan,1,-2147483648,-2147483648,1,1,,-2147483648,2020-03-06T03:30:24.7109180Z
Costa Rica,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Gibraltar,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Liechtenstein,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Poland,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
South Africa,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T03:30:24.7109180Z
Total:,98422,3385,55632,39405,158,30,6272,2020-03-06T03:30:24.7109180Z
