Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,NewCases,NewDeaths,SeriousAndCritical,LastUpdated
China,80652,3070,55521,22061,100,28,5489,2020-03-07T17:47:44.2987990Z
S. Korea,7041,48,118,6875,448,5,36,2020-03-07T17:47:44.2987990Z
Italy,5883,233,589,5061,1247,36,567,2020-03-07T17:47:44.2987990Z
Iran,5823,145,1669,4009,1076,21,-2147483648,2020-03-07T17:47:44.2987990Z
Germany,800,-2147483648,18,782,130,,9,2020-03-07T17:47:44.2987990Z
France,716,11,12,693,63,2,21,2020-03-07T17:47:44.2987990Z
Diamond Princess,696,6,245,445,-2147483648,,32,2020-03-07T17:47:44.2987990Z
Spain,503,10,30,463,102,2,9,2020-03-07T17:47:44.2987990Z
Japan,461,6,76,379,41,,28,2020-03-07T17:47:44.2987990Z
USA,361,17,15,329,42,2,8,2020-03-07T17:47:44.2987990Z
Switzerland,268,1,3,264,54,,-2147483648,2020-03-07T17:47:44.2987990Z
UK,206,2,18,186,42,,-2147483648,2020-03-07T17:47:44.2987990Z
Netherlands,188,1,-2147483648,187,60,,1,2020-03-07T17:47:44.2987990Z
Belgium,169,-2147483648,1,168,60,,1,2020-03-07T17:47:44.2987990Z
Sweden,161,-2147483648,1,160,24,,-2147483648,2020-03-07T17:47:44.2987990Z
Norway,150,-2147483648,1,149,23,,-2147483648,2020-03-07T17:47:44.2987990Z
Singapore,138,-2147483648,90,48,8,,8,2020-03-07T17:47:44.2987990Z
Hong Kong,108,2,51,55,-2147483648,,6,2020-03-07T17:47:44.2987990Z
Malaysia,93,-2147483648,23,70,10,,-2147483648,2020-03-07T17:47:44.2987990Z
Bahrain,85,-2147483648,4,81,25,,-2147483648,2020-03-07T17:47:44.2987990Z
Austria,79,-2147483648,2,77,13,,1,2020-03-07T17:47:44.2987990Z
Australia,64,2,22,40,1,,1,2020-03-07T17:47:44.2987990Z
Kuwait,61,-2147483648,1,60,3,,-2147483648,2020-03-07T17:47:44.2987990Z
Canada,54,-2147483648,8,46,-2147483648,,1,2020-03-07T17:47:44.2987990Z
Thailand,50,1,31,18,2,,1,2020-03-07T17:47:44.2987990Z
Iceland,50,-2147483648,1,49,5,,-2147483648,2020-03-07T17:47:44.2987990Z
Iraq,46,4,1,41,-2147483648,,-2147483648,2020-03-07T17:47:44.2987990Z
Greece,46,-2147483648,-2147483648,46,1,,1,2020-03-07T17:47:44.2987990Z
Taiwan,45,1,15,29,-2147483648,,-2147483648,2020-03-07T17:47:44.2987990Z
UAE,45,-2147483648,7,38,-2147483648,,2,2020-03-07T17:47:44.2987990Z
India,34,-2147483648,3,31,3,,-2147483648,2020-03-07T17:47:44.2987990Z
Lebanon,28,-2147483648,1,27,6,,3,2020-03-07T17:47:44.2987990Z
Denmark,27,-2147483648,1,26,6,,-2147483648,2020-03-07T17:47:44.2987990Z
San Marino,23,1,-2147483648,22,-2147483648,,4,2020-03-07T17:47:44.2987990Z
Czechia,21,-2147483648,-2147483648,21,2,,-2147483648,2020-03-07T17:47:44.2987990Z
Israel,21,-2147483648,2,19,-2147483648,,-2147483648,2020-03-07T17:47:44.2987990Z
Portugal,20,-2147483648,-2147483648,20,7,,-2147483648,2020-03-07T17:47:44.2987990Z
Vietnam,20,-2147483648,16,4,3,,-2147483648,2020-03-07T17:47:44.2987990Z
Algeria,19,-2147483648,-2147483648,19,2,,-2147483648,2020-03-07T17:47:44.2987990Z
Finland,19,-2147483648,1,18,4,,-2147483648,2020-03-07T17:47:44.2987990Z
Palestine,19,-2147483648,-2147483648,19,3,,-2147483648,2020-03-07T17:47:44.2987990Z
Ireland,18,-2147483648,-2147483648,18,-2147483648,,-2147483648,2020-03-07T17:47:44.2987990Z
Oman,16,-2147483648,2,14,-2147483648,,-2147483648,2020-03-07T17:47:44.2987990Z
Egypt,15,-2147483648,1,14,-2147483648,,-2147483648,2020-03-07T17:47:44.2987990Z
Brazil,14,-2147483648,-2147483648,14,1,,-2147483648,2020-03-07T17:47:44.2987990Z
Ecuador,14,-2147483648,-2147483648,14,1,,1,2020-03-07T17:47:44.2987990Z
Russia,14,-2147483648,2,12,1,,-2147483648,2020-03-07T17:47:44.2987990Z
Romania,13,-2147483648,3,10,4,,-2147483648,2020-03-07T17:47:44.2987990Z
Croatia,12,-2147483648,-2147483648,12,1,,-2147483648,2020-03-07T17:47:44.2987990Z
Georgia,12,-2147483648,-2147483648,12,3,,1,2020-03-07T17:47:44.2987990Z
Qatar,12,-2147483648,-2147483648,12,1,,-2147483648,2020-03-07T17:47:44.2987990Z
Slovenia,12,-2147483648,-2147483648,12,4,,-2147483648,2020-03-07T17:47:44.2987990Z
Macao,10,-2147483648,10,0,-2147483648,,-2147483648,2020-03-07T17:47:44.2987990Z
Estonia,10,-2147483648,-2147483648,10,-2147483648,,-2147483648,2020-03-07T17:47:44.2987990Z
Azerbaijan,9,-2147483648,-2147483648,9,-2147483648,,-2147483648,2020-03-07T17:47:44.2987990Z
Argentina,8,-2147483648,-2147483648,8,-2147483648,,-2147483648,2020-03-07T17:47:44.2987990Z
Saudi Arabia,7,-2147483648,1,6,2,,-2147483648,2020-03-07T17:47:44.2987990Z
Philippines,6,1,2,3,1,,1,2020-03-07T17:47:44.2987990Z
Belarus,6,-2147483648,-2147483648,6,-2147483648,,-2147483648,2020-03-07T17:47:44.2987990Z
Mexico,6,-2147483648,1,5,-2147483648,,-2147483648,2020-03-07T17:47:44.2987990Z
Pakistan,6,-2147483648,1,5,-2147483648,,-2147483648,2020-03-07T17:47:44.2987990Z
Poland,6,-2147483648,-2147483648,6,1,,-2147483648,2020-03-07T17:47:44.2987990Z
New Zealand,5,-2147483648,-2147483648,5,1,,-2147483648,2020-03-07T17:47:44.2987990Z
Chile,5,-2147483648,-2147483648,5,-2147483648,,-2147483648,2020-03-07T17:47:44.2987990Z
Hungary,5,-2147483648,-2147483648,5,1,,-2147483648,2020-03-07T17:47:44.2987990Z
Afghanistan,4,-2147483648,-2147483648,4,3,,-2147483648,2020-03-07T17:47:44.2987990Z
