Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,NewCases,NewDeaths,SeriousAndCritical,LastUpdated
China,80026,2912,44801,32313,202,42,7110,2020-03-02T19:20:34.5698520Z
S. Korea,4335,28,30,4277,599,7,27,2020-03-02T19:20:34.5698520Z
Italy,2036,52,149,1835,335,11,166,2020-03-02T19:20:34.5698520Z
Iran,1501,66,291,1144,523,12,-2147483648,2020-03-02T19:20:34.5698520Z
Diamond Princess,705,7,100,598,-2147483648,,36,2020-03-02T19:20:34.5698520Z
Japan,274,6,42,226,18,,19,2020-03-02T19:20:34.5698520Z
France,191,3,12,176,61,1,8,2020-03-02T19:20:34.5698520Z
Germany,157,-2147483648,16,141,27,,2,2020-03-02T19:20:34.5698520Z
Spain,120,-2147483648,2,118,36,,3,2020-03-02T19:20:34.5698520Z
Singapore,108,-2147483648,78,30,2,,6,2020-03-02T19:20:34.5698520Z
Hong Kong,100,2,36,62,-2147483648,,6,2020-03-02T19:20:34.5698520Z
USA,96,5,9,82,21,4,7,2020-03-02T19:20:34.5698520Z
Kuwait,56,-2147483648,-2147483648,56,10,,-2147483648,2020-03-02T19:20:34.5698520Z
Bahrain,49,-2147483648,-2147483648,49,2,,-2147483648,2020-03-02T19:20:34.5698520Z
Thailand,43,1,30,12,1,,1,2020-03-02T19:20:34.5698520Z
Taiwan,41,1,12,28,1,,1,2020-03-02T19:20:34.5698520Z
U.K.,40,-2147483648,8,32,4,,-2147483648,2020-03-02T19:20:34.5698520Z
Australia,33,1,15,17,4,,1,2020-03-02T19:20:34.5698520Z
Malaysia,29,-2147483648,22,7,-2147483648,,-2147483648,2020-03-02T19:20:34.5698520Z
Canada,27,-2147483648,7,20,3,,-2147483648,2020-03-02T19:20:34.5698520Z
Iraq,26,-2147483648,-2147483648,26,7,,-2147483648,2020-03-02T19:20:34.5698520Z
Norway,25,-2147483648,-2147483648,25,6,,-2147483648,2020-03-02T19:20:34.5698520Z
Switzerland,24,-2147483648,1,23,-2147483648,,-2147483648,2020-03-02T19:20:34.5698520Z
U.A.E.,21,-2147483648,5,16,-2147483648,,2,2020-03-02T19:20:34.5698520Z
Austria,18,-2147483648,-2147483648,18,4,,-2147483648,2020-03-02T19:20:34.5698520Z
Netherlands,18,-2147483648,-2147483648,18,8,,1,2020-03-02T19:20:34.5698520Z
Vietnam,16,-2147483648,16,0,-2147483648,,-2147483648,2020-03-02T19:20:34.5698520Z
Sweden,15,-2147483648,-2147483648,15,1,,-2147483648,2020-03-02T19:20:34.5698520Z
Lebanon,13,-2147483648,-2147483648,13,3,,-2147483648,2020-03-02T19:20:34.5698520Z
Macao,10,-2147483648,6,4,-2147483648,,-2147483648,2020-03-02T19:20:34.5698520Z
Israel,10,-2147483648,1,9,-2147483648,,-2147483648,2020-03-02T19:20:34.5698520Z
San Marino,8,1,-2147483648,7,-2147483648,,1,2020-03-02T19:20:34.5698520Z
Belgium,8,-2147483648,1,7,6,,-2147483648,2020-03-02T19:20:34.5698520Z
Croatia,8,-2147483648,-2147483648,8,1,,-2147483648,2020-03-02T19:20:34.5698520Z
Greece,7,-2147483648,-2147483648,7,-2147483648,,-2147483648,2020-03-02T19:20:34.5698520Z
Qatar,7,-2147483648,-2147483648,7,4,,-2147483648,2020-03-02T19:20:34.5698520Z
Ecuador,6,-2147483648,-2147483648,6,-2147483648,,1,2020-03-02T19:20:34.5698520Z
Finland,6,-2147483648,1,5,-2147483648,,-2147483648,2020-03-02T19:20:34.5698520Z
Iceland,6,-2147483648,-2147483648,6,3,,-2147483648,2020-03-02T19:20:34.5698520Z
India,6,-2147483648,3,3,3,,-2147483648,2020-03-02T19:20:34.5698520Z
Oman,6,-2147483648,2,4,-2147483648,,-2147483648,2020-03-02T19:20:34.5698520Z
Mexico,5,-2147483648,-2147483648,5,-2147483648,,-2147483648,2020-03-02T19:20:34.5698520Z
