Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,NewCases,NewDeaths,SeriousAndCritical,LastUpdated
China,80576,3042,53929,23605,167,30,5737,2020-03-06T20:39:14.1224690Z
S. Korea,6593,43,135,6415,309,1,52,2020-03-06T20:39:14.1224690Z
Iran,4747,124,913,3710,1234,16,-2147483648,2020-03-06T20:39:14.1224690Z
Italy,4636,197,523,3916,778,49,462,2020-03-06T20:39:14.1224690Z
Diamond Princess,696,6,212,478,-2147483648,,34,2020-03-06T20:39:14.1224690Z
Germany,670,-2147483648,17,653,125,,8,2020-03-06T20:39:14.1224690Z
France,653,9,12,632,230,2,23,2020-03-06T20:39:14.1224690Z
Japan,420,6,46,368,56,,34,2020-03-06T20:39:14.1224690Z
Spain,400,6,3,391,118,3,9,2020-03-06T20:39:14.1224690Z
USA,267,14,15,238,46,2,8,2020-03-06T20:39:14.1224690Z
Switzerland,214,1,3,210,94,,-2147483648,2020-03-06T20:39:14.1224690Z
UK,164,2,18,144,48,1,-2147483648,2020-03-06T20:39:14.1224690Z
Sweden,136,-2147483648,1,135,42,,-2147483648,2020-03-06T20:39:14.1224690Z
Singapore,130,-2147483648,81,49,13,,7,2020-03-06T20:39:14.1224690Z
Netherlands,128,1,-2147483648,127,46,1,1,2020-03-06T20:39:14.1224690Z
Norway,127,-2147483648,1,126,33,,-2147483648,2020-03-06T20:39:14.1224690Z
Belgium,109,-2147483648,1,108,59,,1,2020-03-06T20:39:14.1224690Z
Hong Kong,105,2,37,66,-2147483648,,6,2020-03-06T20:39:14.1224690Z
Malaysia,83,-2147483648,23,60,28,,-2147483648,2020-03-06T20:39:14.1224690Z
Australia,63,2,22,39,3,,1,2020-03-06T20:39:14.1224690Z
Bahrain,60,-2147483648,4,56,5,,-2147483648,2020-03-06T20:39:14.1224690Z
Kuwait,58,-2147483648,1,57,-2147483648,,-2147483648,2020-03-06T20:39:14.1224690Z
Austria,55,-2147483648,2,53,12,,1,2020-03-06T20:39:14.1224690Z
Canada,49,-2147483648,8,41,12,,1,2020-03-06T20:39:14.1224690Z
Thailand,48,1,31,16,1,,1,2020-03-06T20:39:14.1224690Z
Taiwan,45,1,15,29,1,,-2147483648,2020-03-06T20:39:14.1224690Z
Greece,45,-2147483648,-2147483648,45,14,,1,2020-03-06T20:39:14.1224690Z
Iceland,43,-2147483648,-2147483648,43,8,,-2147483648,2020-03-06T20:39:14.1224690Z
Iraq,40,3,1,36,-2147483648,,-2147483648,2020-03-06T20:39:14.1224690Z
India,31,-2147483648,3,28,1,,-2147483648,2020-03-06T20:39:14.1224690Z
UAE,29,-2147483648,5,24,1,,2,2020-03-06T20:39:14.1224690Z
San Marino,23,1,-2147483648,22,2,,4,2020-03-06T20:39:14.1224690Z
Denmark,23,-2147483648,1,22,3,,-2147483648,2020-03-06T20:39:14.1224690Z
Lebanon,22,-2147483648,-2147483648,22,6,,1,2020-03-06T20:39:14.1224690Z
Israel,21,-2147483648,2,19,4,,-2147483648,2020-03-06T20:39:14.1224690Z
Czechia,19,-2147483648,-2147483648,19,7,,-2147483648,2020-03-06T20:39:14.1224690Z
Ireland,18,-2147483648,-2147483648,18,5,,-2147483648,2020-03-06T20:39:14.1224690Z
Algeria,17,-2147483648,-2147483648,17,-2147483648,,-2147483648,2020-03-06T20:39:14.1224690Z
Vietnam,17,-2147483648,16,1,1,,-2147483648,2020-03-06T20:39:14.1224690Z
Oman,16,-2147483648,2,14,-2147483648,,-2147483648,2020-03-06T20:39:14.1224690Z
Palestine,16,-2147483648,-2147483648,16,9,,-2147483648,2020-03-06T20:39:14.1224690Z
Egypt,15,-2147483648,1,14,12,,-2147483648,2020-03-06T20:39:14.1224690Z
Finland,15,-2147483648,1,14,3,,-2147483648,2020-03-06T20:39:14.1224690Z
Brazil,13,-2147483648,-2147483648,13,5,,-2147483648,2020-03-06T20:39:14.1224690Z
Ecuador,13,-2147483648,-2147483648,13,-2147483648,,1,2020-03-06T20:39:14.1224690Z
Portugal,13,-2147483648,-2147483648,13,4,,-2147483648,2020-03-06T20:39:14.1224690Z
Russia,13,-2147483648,2,11,6,,-2147483648,2020-03-06T20:39:14.1224690Z
Croatia,11,-2147483648,-2147483648,11,1,,-2147483648,2020-03-06T20:39:14.1224690Z
Qatar,11,-2147483648,-2147483648,11,3,,-2147483648,2020-03-06T20:39:14.1224690Z
Macao,10,-2147483648,9,1,-2147483648,,-2147483648,2020-03-06T20:39:14.1224690Z
Estonia,10,-2147483648,-2147483648,10,5,,-2147483648,2020-03-06T20:39:14.1224690Z
Georgia,9,-2147483648,-2147483648,9,-2147483648,,1,2020-03-06T20:39:14.1224690Z
Romania,9,-2147483648,3,6,3,,-2147483648,2020-03-06T20:39:14.1224690Z
Slovenia,8,-2147483648,-2147483648,8,2,,-2147483648,2020-03-06T20:39:14.1224690Z
Azerbaijan,6,-2147483648,-2147483648,6,-2147483648,,-2147483648,2020-03-06T20:39:14.1224690Z
Belarus,6,-2147483648,-2147483648,6,-2147483648,,-2147483648,2020-03-06T20:39:14.1224690Z
Mexico,6,-2147483648,1,5,-2147483648,,-2147483648,2020-03-06T20:39:14.1224690Z
Pakistan,6,-2147483648,1,5,1,,-2147483648,2020-03-06T20:39:14.1224690Z
Philippines,5,1,2,2,2,,1,2020-03-06T20:39:14.1224690Z
Saudi Arabia,5,-2147483648,1,4,-2147483648,,-2147483648,2020-03-06T20:39:14.1224690Z
Chile,5,-2147483648,-2147483648,5,1,,-2147483648,2020-03-06T20:39:14.1224690Z
Poland,5,-2147483648,-2147483648,5,4,,-2147483648,2020-03-06T20:39:14.1224690Z
Indonesia,4,-2147483648,-2147483648,4,2,,-2147483648,2020-03-06T20:39:14.1224690Z
New Zealand,4,-2147483648,-2147483648,4,-2147483648,,-2147483648,2020-03-06T20:39:14.1224690Z
Senegal,4,-2147483648,-2147483648,4,-2147483648,,-2147483648,2020-03-06T20:39:14.1224690Z
Hungary,4,-2147483648,-2147483648,4,-2147483648,,-2147483648,2020-03-06T20:39:14.1224690Z
North Macedonia,3,-2147483648,-2147483648,3,2,,-2147483648,2020-03-06T20:39:14.1224690Z
Bosnia and Herzegovina,3,-2147483648,-2147483648,3,1,,-2147483648,2020-03-06T20:39:14.1224690Z
Dominican Republic,2,-2147483648,-2147483648,2,1,,-2147483648,2020-03-06T20:39:14.1224690Z
Luxembourg,2,-2147483648,-2147483648,2,-2147483648,,-2147483648,2020-03-06T20:39:14.1224690Z
Morocco,2,-2147483648,-2147483648,2,-2147483648,,1,2020-03-06T20:39:14.1224690Z
Argentina,2,-2147483648,-2147483648,2,-2147483648,,-2147483648,2020-03-06T20:39:14.1224690Z
Afghanistan,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T20:39:14.1224690Z
Andorra,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T20:39:14.1224690Z
Armenia,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T20:39:14.1224690Z
Cambodia,1,-2147483648,1,0,-2147483648,,-2147483648,2020-03-06T20:39:14.1224690Z
Jordan,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T20:39:14.1224690Z
Latvia,1,-2147483648,1,0,-2147483648,,-2147483648,2020-03-06T20:39:14.1224690Z
Lithuania,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T20:39:14.1224690Z
Monaco,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T20:39:14.1224690Z
Nepal,1,-2147483648,1,0,-2147483648,,-2147483648,2020-03-06T20:39:14.1224690Z
Nigeria,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T20:39:14.1224690Z
Sri Lanka,1,-2147483648,1,0,-2147483648,,-2147483648,2020-03-06T20:39:14.1224690Z
Tunisia,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T20:39:14.1224690Z
Ukraine,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T20:39:14.1224690Z
Bhutan,1,-2147483648,-2147483648,1,1,,-2147483648,2020-03-06T20:39:14.1224690Z
Cameroon,1,-2147483648,-2147483648,1,1,,-2147483648,2020-03-06T20:39:14.1224690Z
Colombia,1,-2147483648,-2147483648,1,1,,-2147483648,2020-03-06T20:39:14.1224690Z
Costa Rica,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T20:39:14.1224690Z
Gibraltar,1,-2147483648,-2147483648,1,-2147483648,,1,2020-03-06T20:39:14.1224690Z
Vatican City,1,-2147483648,-2147483648,1,1,,-2147483648,2020-03-06T20:39:14.1224690Z
Liechtenstein,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T20:39:14.1224690Z
Peru,1,-2147483648,-2147483648,1,1,,-2147483648,2020-03-06T20:39:14.1224690Z
Serbia,1,-2147483648,-2147483648,1,1,,-2147483648,2020-03-06T20:39:14.1224690Z
Slovakia,1,-2147483648,-2147483648,1,1,,-2147483648,2020-03-06T20:39:14.1224690Z
South Africa,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-06T20:39:14.1224690Z
Togo,1,-2147483648,-2147483648,1,1,,-2147483648,2020-03-06T20:39:14.1224690Z
Total:,101861,3462,56108,42291,3587,105,6399,2020-03-06T20:39:14.1224690Z
