Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,NewCases,NewDeaths,SeriousAndCritical,LastUpdated
China,80026,2912,44520,32594,202,42,7110,2020-03-02T04:53:38.3283060Z
S. Korea,4212,22,30,4160,476,1,27,2020-03-02T04:53:38.3283060Z
Italy,1701,41,83,1577,-2147483648,,140,2020-03-02T04:53:38.3283060Z
Iran,978,54,175,749,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Diamond Princess,705,7,10,688,-2147483648,,36,2020-03-02T04:53:38.3283060Z
Japan,256,6,42,208,-2147483648,,19,2020-03-02T04:53:38.3283060Z
France,130,2,12,116,-2147483648,,9,2020-03-02T04:53:38.3283060Z
Germany,130,-2147483648,16,114,-2147483648,,2,2020-03-02T04:53:38.3283060Z
Singapore,106,-2147483648,74,32,-2147483648,,7,2020-03-02T04:53:38.3283060Z
Hong Kong,100,2,36,62,-2147483648,,6,2020-03-02T04:53:38.3283060Z
USA,84,2,9,73,9,1,8,2020-03-02T04:53:38.3283060Z
Spain,84,-2147483648,2,82,-2147483648,,3,2020-03-02T04:53:38.3283060Z
Bahrain,47,-2147483648,-2147483648,47,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Kuwait,46,-2147483648,-2147483648,46,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Thailand,42,1,30,11,-2147483648,,1,2020-03-02T04:53:38.3283060Z
Taiwan,40,1,12,27,-2147483648,,1,2020-03-02T04:53:38.3283060Z
U.K.,36,-2147483648,8,28,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Australia,29,1,15,13,-2147483648,,1,2020-03-02T04:53:38.3283060Z
Malaysia,29,-2147483648,22,7,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Canada,24,-2147483648,4,20,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Switzerland,24,-2147483648,1,23,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
U.A.E.,21,-2147483648,5,16,-2147483648,,2,2020-03-02T04:53:38.3283060Z
Iraq,19,-2147483648,-2147483648,19,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Norway,19,-2147483648,-2147483648,19,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Vietnam,16,-2147483648,16,0,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Austria,14,-2147483648,-2147483648,14,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Sweden,14,-2147483648,-2147483648,14,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Macao,10,-2147483648,6,4,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Israel,10,-2147483648,1,9,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Lebanon,10,-2147483648,-2147483648,10,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Netherlands,10,-2147483648,-2147483648,10,-2147483648,,1,2020-03-02T04:53:38.3283060Z
San Marino,8,1,-2147483648,7,-2147483648,,1,2020-03-02T04:53:38.3283060Z
Croatia,7,-2147483648,-2147483648,7,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Greece,7,-2147483648,-2147483648,7,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Ecuador,6,-2147483648,-2147483648,6,-2147483648,,1,2020-03-02T04:53:38.3283060Z
Finland,6,-2147483648,1,5,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Oman,6,-2147483648,1,5,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Mexico,5,-2147483648,-2147483648,5,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Denmark,4,-2147483648,-2147483648,4,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Pakistan,4,-2147483648,-2147483648,4,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Philippines,3,1,2,0,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Algeria,3,-2147483648,-2147483648,3,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Azerbaijan,3,-2147483648,-2147483648,3,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Czechia,3,-2147483648,-2147483648,3,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Georgia,3,-2147483648,-2147483648,3,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Iceland,3,-2147483648,-2147483648,3,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
India,3,-2147483648,3,0,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Qatar,3,-2147483648,-2147483648,3,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Romania,3,-2147483648,1,2,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Belgium,2,-2147483648,1,1,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Brazil,2,-2147483648,-2147483648,2,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Egypt,2,-2147483648,1,1,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Indonesia,2,-2147483648,-2147483648,2,2,,-2147483648,2020-03-02T04:53:38.3283060Z
Russia,2,-2147483648,2,0,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Afghanistan,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Armenia,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Belarus,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Cambodia,1,-2147483648,1,0,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Dominican Republic,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Estonia,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Ireland,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Lithuania,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Luxembourg,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
North Macedonia,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Monaco,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Nepal,1,-2147483648,1,0,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
New Zealand,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Nigeria,1,-2147483648,-2147483648,1,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Sri Lanka,1,-2147483648,1,0,-2147483648,,-2147483648,2020-03-02T04:53:38.3283060Z
Total:,89077,3053,45144,40880,689,44,7375,2020-03-02T04:53:38.3283060Z
