Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,NewCases,NewDeaths,SeriousAndCritical,LastUpdated
China,80026,2912,44490,32624,202,42,7110,2020-03-02T01:36:55.6445790Z
S. Korea,3736,21,30,3685,586,4,10,2020-03-02T01:36:55.6445790Z
Italy,1701,41,83,1577,573,12,140,2020-03-02T01:36:55.6445790Z
Iran,978,54,175,749,385,11,-2147483648,2020-03-02T01:36:55.6445790Z
Diamond Princess,705,7,10,688,-2147483648,1,36,2020-03-02T01:36:55.6445790Z
Japan,256,6,42,208,15,1,19,2020-03-02T01:36:55.6445790Z
France,130,2,12,116,30,,9,2020-03-02T01:36:55.6445790Z
Germany,130,-2147483648,16,114,51,,2,2020-03-02T01:36:55.6445790Z
Singapore,106,-2147483648,74,32,4,,7,2020-03-02T01:36:55.6445790Z
Hong Kong,100,2,36,62,5,,6,2020-03-02T01:36:55.6445790Z
Spain,84,-2147483648,2,82,26,,3,2020-03-02T01:36:55.6445790Z
USA,76,1,9,66,8,,4,2020-03-02T01:36:55.6445790Z
Bahrain,47,-2147483648,-2147483648,47,6,,-2147483648,2020-03-02T01:36:55.6445790Z
Kuwait,46,-2147483648,-2147483648,46,1,,-2147483648,2020-03-02T01:36:55.6445790Z
Thailand,42,1,30,11,-2147483648,1,1,2020-03-02T01:36:55.6445790Z
Taiwan,40,1,12,27,1,,1,2020-03-02T01:36:55.6445790Z
U.K.,36,-2147483648,8,28,13,,-2147483648,2020-03-02T01:36:55.6445790Z
Australia,29,1,15,13,4,1,-2147483648,2020-03-02T01:36:55.6445790Z
Malaysia,29,-2147483648,22,7,4,,-2147483648,2020-03-02T01:36:55.6445790Z
Canada,24,-2147483648,4,20,4,,-2147483648,2020-03-02T01:36:55.6445790Z
Switzerland,24,-2147483648,1,23,5,,-2147483648,2020-03-02T01:36:55.6445790Z
U.A.E.,21,-2147483648,5,16,-2147483648,,2,2020-03-02T01:36:55.6445790Z
Iraq,19,-2147483648,-2147483648,19,6,,-2147483648,2020-03-02T01:36:55.6445790Z
Norway,19,-2147483648,-2147483648,19,4,,-2147483648,2020-03-02T01:36:55.6445790Z
Vietnam,16,-2147483648,16,0,-2147483648,,-2147483648,2020-03-02T01:36:55.6445790Z
